formula,activity,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
CoO,peroxidase,4.5,4.5,4.5,,,3.29,,H2O2+TMB,0.2,30.0,0.7,0.03,4.5,37.0,,489.0,10021
MoS2,peroxidase,10.0,10.0,10.0,,,4.82,8.87e-06,TMB+H2O2,,,10.0,,4.0,25.0,,,10022
MoS2,peroxidase,60.0,60.0,60.0,,,0.4,0.0001669999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10023
MoS2,peroxidase,20.0,20.0,20.0,,,2.65,0.0003319999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10024
MoS2,peroxidase,10.0,10.0,10.0,,,23.5,9.85e-07,H2O2+TMB,,,0.1,,4.0,25.0,,,10025
MoS2,peroxidase,60.0,60.0,60.0,,,7.54,0.000355,H2O2+TMB,,,0.1,,4.0,25.0,,,10026
MoS2,peroxidase,20.0,20.0,20.0,,,17.19,4.599999999999999e-05,H2O2+TMB,,,0.1,,4.0,25.0,,,10027
Na2SeO3,peroxidase,,,,,,,,H2O2+TMB,,,,,,,,,10028
C,peroxidase,100.0,100.0,100.0,,,0.05,0.001,TMB+H2O2,0.001,0.1,0.1,0.01,4.5,37.0,,,10029
C,peroxidase,100.0,100.0,100.0,,,0.05,0.001,H2O2+TMB,0.001,0.1,0.1,0.01,4.5,37.0,,,10030
MoS2,peroxidase,1.63,1.63,1.63,,,6.64,0.000107,H2O2+TMB,,,0.1,,4.0,25.0,,,10031
MoS2,peroxidase,1.63,1.63,1.63,,,0.52,0.0002339999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10032
MoS2,peroxidase,1.63,1.63,1.63,,,15.85,1.6499999999999998e-05,H2O2+TMB,,,0.1,,4.0,25.0,,,10033
MoS2,peroxidase,1.63,1.63,1.63,,,1.71,0.000175,TMB+H2O2,,,10.0,,4.0,25.0,,,10034
Pd,peroxidase,4.8,4.8,4.8,,,0.033,25.69,TMB+H2O2,,,125.0,,4.0,20.0,,,10035
Pd,peroxidase,4.8,4.8,4.8,,,91.29,34.05,H2O2+TMB,,,0.125,,4.0,20.0,,,10036
Pd,peroxidase,5.1,5.1,5.1,,,0.045,40.68,TMB+H2O2,,,125.0,,4.0,20.0,,,10037
Pd,peroxidase,5.1,5.1,5.1,,,63.86,41.63,H2O2+TMB,,,0.125,,4.0,20.0,,,10038
Pd,peroxidase,4.8,4.8,4.8,,,0.04,22.83,TMB+H2O2,,,125.0,,4.0,20.0,,,10039
Pd,peroxidase,4.8,4.8,4.8,,,97.02,29.67,H2O2+TMB,,,0.125,,4.0,20.0,,,10040
Pd@Pt,catalase,40.0,40.0,40.0,Pluronic F127,Ascorbic acid,,,,,,,,,35.0,,,10041
Mn3O4,catalase,100.0,100.0,100.0,,oleic acid,,,,,,,,,25.0,,,10042
Fe3O4@Pt,peroxidase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,22.17,,H2O2+TMB,0.0,10.0,,0.0005,4.0,50.0,-30.0,,10043
Fe3O4@Pt,catalase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,H2O2,0.0,30.0,,,2-11,,-30.0,,10044
Fe3O4@Pt,oxidase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,glucose,1.0,4.0,,,,,-30.0,,10045
Fe3O4@Pt,superoxide dismutase,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,O2•−,,,,,,,-30.0,,10046
Au,peroxidase,100.0,100.0,100.0,Pluronic F127,,0.01,0.001,TMB+H2O2,0.01,1.0,0.1,0.01,6.0,25.0,-20.0,,10047
Au,peroxidase,100.0,100.0,100.0,Pluronic F127,,0.01,0.001,TMB+H2O2,0.01,1.0,0.1,0.01,6.0,25.0,-47.0,,10048
Mn3[Co(CN)6]2,catalase,80.0,80.0,80.0,poly(N-Vinylpyrrolidone),,,,H2O2,,,1.0,,6.5,25.0,,,10049
Mn3[Co(CN)6]2,catalase,80.0,80.0,80.0,poly(N-Vinylpyrrolidone),,0.029,,H2O2,,,10.0,,6.5,25.0,,,10050
CeO2,catalase,6.0,6.0,6.0,,,,,,,,,,,50.0,50.0,,10051
Na2SeO3,peroxidase,,,,,,,,H2O2+TMB,,,0.25,,7.4,4.0,,,10052
Na2SeO3,peroxidase,,,,,,,,TMB+H2O2,,,0.25,,7.4,4.0,,,10053
MnO2,peroxidase,,45.0,,poly(ethylene glycol),,0.08,0.0006,ABTS+H2O2,0.001,1.0,3.0,,3.5,25.0,,,10054
MnO2,peroxidase,,45.0,,poly(ethylene glycol),,0.06,0.0006,H2O2+ABTS,0.01,3.0,1.0,,3.5,25.0,,,10055
C,peroxidase,30.0,30.0,30.0,,,,,TMB+H2O2,1e-05,0.5,8.0,0.5,4.0,25.0,,,10056
C,peroxidase,30.0,30.0,30.0,,,,,H2O2+TMB,0.0005,1.0,8.0,0.5,4.0,37.0,,,10057
C,peroxidase,30.0,30.0,30.0,,,,,H2O2+TMB,0.0005,1.0,20.0,0.5,4.0,25.0,,,10058
C,peroxidase,30.0,30.0,30.0,,,,,H2O2+TMB,0.01,0.075,20.0,0.5,4.0,25.0,,,10059
C6H8N2O2Se,peroxidase,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10060
C8H12N2O2Se,peroxidase,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10061
Na2SeO3,peroxidase,,,,,,0.17,,H2O2+TMB,,,0.17,,7.0,30.0,,,10062
Na2SeO3,peroxidase,,,,,,0.17,,TMB+H2O2,,,0.17,,7.0,30.0,,,10063
Fe3O4,peroxidase,350.0,350.0,350.0,,,,,H2O2+BA,4e-05,0.02,1.4,1.0,3.0,25.0,,,10064
Fe3O4,peroxidase,350.0,350.0,350.0,,,,,Glucose+O2,5e-05,0.01,1.4,1.0,7.0,25.0,,,10065
Fe3O4,peroxidase,350.0,350.0,350.0,,,,,PNP+H2O2,0.0001,0.03,0.008,1.0,3.0,25.0,,,10066
Au,peroxidase,14.0,14.0,14.0,,,0.2,,TMB+H2O2,,,373.0,0.0477999999999999,3.6,25.0,,,10067
Au,peroxidase,14.0,14.0,14.0,,,572.0,,H2O2+TMB,,,,0.0477999999999999,3.6,25.0,,,10068
Au,peroxidase,14.0,14.0,14.0,,,92.3,,ABTS+H2O2,,,,0.0477999999999999,3.6,25.0,,,10069
Au,peroxidase,14.0,14.0,14.0,,,546.0,,H2O2+ABTS,,,,0.0477999999999999,3.6,25.0,,,10070
Pd,peroxidase,19.2,19.2,19.2,poly(N-Vinylpyrrolidone),,0.048,0.0003,TMB+H2O2,,,2000.0,,4.0,25.0,,33.33,10071
Pd,peroxidase,19.5,19.5,19.5,poly(N-Vinylpyrrolidone),,0.095,0.00052,TMB+H2O2,,,2000.0,,4.0,25.0,,38.46,10072
Cu(OH)2,peroxidase,200.0,150.0,150.0,poly(N-Vinylpyrrolidone),,1.335,0.000421,TMB+H2O2,1e-07,0.0001,0.53,,4.5,25.0,,136.0,10073
Cu(OH)2,peroxidase,200.0,150.0,150.0,poly(N-Vinylpyrrolidone),,0.379,0.000391,H2O2+TMB,1e-07,0.0001,0.8,,4.5,25.0,,136.0,10074
Au-Ag,peroxidase,60.0,60.0,60.0,poly(N-Vinylpyrrolidone),,0.05,1e-05,H2O2+TMB,0.05,0.5,50.0,0.001,4.5,25.0,2.3,,10075
Au-Ag,peroxidase,60.0,60.0,60.0,poly(N-Vinylpyrrolidone),,0.05,1e-05,TMB+H2O2,0.05,0.5,50.0,0.001,4.5,25.0,2.3,,10076
MnO2,oxidase,158.0,158.0,158.0,,,,,TMB,,,,,4.5,25.0,,,10077
Fe3O4,peroxidase,20.0,20.0,20.0,,,,,,,,,,,,,,10078
Fe3O4/Au,peroxidase,10.33,10.33,10.33,,CTAB,0.8502,4.847e-05,TMB+H2O2,0.0,42.0,9800.0,0.15,4,25.0,21.67,,10079
Fe3O4/Au,peroxidase,10.33,10.33,10.33,,CTAB,1.0097,4.203e-05,TMB+H2O2,0.0,42.0,9800.0,0.15,4,25.0,21.67,,10080
Fe3O4/Au,peroxidase,10.33,10.33,10.33,,CTAB,147.2629,,H2O2+TMB,0.0,9800.0,42.0,0.15,4,25.0,21.67,,10081
Fe3O4/Au,peroxidase,10.33,10.33,10.33,,CTAB,158.7519,,H2O2+TMB,0.0,9800.0,42.0,0.15,4,25.0,21.67,,10082
Fe3O4,peroxidase,11.4,11.4,11.4,,,,,H2O2,,,40.0,0.5,6.9,25.0,,125.0,10083
Co9S8,peroxidase,15000.0,15000.0,15000.0,,,0.12,0.0012,H2O2+TMB,0.05,0.5,100.0,0.02,3,35.0,,,10084
Co9S8,peroxidase,15000.0,15000.0,15000.0,,,0.18,0.0015,TMB+H2O2,0.05,0.5,100.0,0.02,3,35.0,,,10085
Mn3O4,superoxide dismutase,8.9,8.9,8.9,,,,,,,,,,,,-7.7,,10086
Mn3O4,catalase,8.9,8.9,8.9,,,,,H2O2,,,,0.02,,37.0,-7.7,,10087
Mn3O4,catalase,8.9,8.9,8.9,,,,,H2O2,,,,0.1,,37.0,-7.7,,10088
Mn3O4,,8.9,8.9,8.9,,,,,H2O2,,,,0.02,4.7,37.0,-7.7,,10089
Mn3O4,,8.9,8.9,8.9,,,,,H2O2,,,,0.1,4.7,37.0,-7.7,,10090
Ag3PO4,peroxidase,10.0,10.0,10.0,,Oleylamine,0.327,2.016e-25,TMB+H2O2,0.0,0.45,3.6,2.0,4,25.0,,,10091
Ag3PO4,peroxidase,10.0,10.0,10.0,,Oleylamine,0.216,1.276e-25,H2O2+TMB,0.36,7.2,0.3,2.0,4,25.0,,,10092
Se-,peroxidase,,,,,,,,H2O2 + GSH,,,,,7,,,,10093
C,peroxidase,2.8,2.8,2.8,,,0.057,,TMB+H2O2,,,75.0,,4.0,35.0,,964.0,10094
C,peroxidase,2.8,2.8,2.8,,,0.037,,TMB+H2O2,,,75.0,,4.0,35.0,,964.0,10095
C,peroxidase,2.8,2.8,2.8,,,13.8,,H2O2+TMB,,,,,4.0,35.0,,964.0,10096
C,peroxidase,2.8,2.8,2.8,,,7.32,,H2O2+TMB,,,,,4.0,35.0,,964.0,10097
MoS2,peroxidase,1.1,1.1,1.1,,,,,OPD+H2O2,0.01,0.8,0.1,1.0,4.5,25.0,,,10098
MoS2,peroxidase,1.1,1.1,1.1,,,,,H2O2+OPD,0.01,0.8,0.5,1.0,4.5,25.0,,,10099
Au,peroxidase,20.0,20.0,20.0,,,,,OPD+H2O2,,,,,,25.0,,,10100
ZnFe2O4,peroxidase,15.0,15.0,15.0,Poly(vinyl alcohol),,,,TMB+H2O2,,,,,,25.0,,,10101
ZnFe2O4,peroxidase,30.0,30.0,30.0,Poly(vinyl alcohol),,,,TMB+H2O2,,,,,,25.0,,,10102
ZnFe2O4,peroxidase,55.0,55.0,55.0,Poly(vinyl alcohol),,,,TMB+H2O2,,,,,,25.0,,,10103
C,peroxidase,3.87,3.87,3.87,,,,,TMB+H2O2,0.01,0.1,50.0,0.1,3.0,60.0,,,10104
C,peroxidase,3.87,3.87,3.87,,,,,H2O2+TMB,0.01,0.4,5.0,0.1,3.0,60.0,,,10105
Fe3O4,peroxidase,590.0,590.0,590.0,,,3.75,8.33,H2O2+TMB,0.5,4.0,0.05,,3.5,40.0,,10.6,10106
Fe3O4,peroxidase,590.0,590.0,590.0,,,3.33,0.26,TMB+H2O2,0.05,1.0,40.0,,3.5,40.0,,10.6,10107
CeO2,peroxidase,54.0,54.0,54.0,poly(N-Vinylpyrrolidone),,2.5,16.67,H2O2+TMB,0.5,4.0,0.05,,3.5,40.0,,14.5,10108
CeO2,peroxidase,54.0,54.0,54.0,poly(N-Vinylpyrrolidone),,0.67,0.38,TMB+H2O2,0.05,1.0,40.0,,3.5,40.0,,14.5,10109
Fe3O4@CeO2,peroxidase,630.0,630.0,630.0,,,1.13,12.5,H2O2+TMB,0.5,4.0,0.05,,3.5,40.0,,38.4,10110
Fe3O4@CeO2,peroxidase,630.0,630.0,630.0,,,0.15,0.64,TMB+H2O2,0.05,1.0,40.0,,3.5,40.0,,38.4,10111
Mn3O4,peroxidase,6.12,6.12,6.12,,,1.09,0.0015833333333333,GSH+H2O2,0.0,6.0,0.24,,7.4,25.0,-12.23,,10112
Mn3O4,peroxidase,6.12,6.12,6.12,,,1.36,0.0010666666666666,H2O2+GSH,0.0,0.48,2.0,,7.4,25.0,-12.23,,10113
Fe3O4,peroxidase,200.0,200.0,200.0,,Ethylene glycol,,0.000207,H2O2+TMB,,,,,,,,,10114
Fe3O4,peroxidase,200.0,200.0,200.0,,Ethylene glycol,,0.0002635,TMB+H2O2,,,,,,,,,10115
Au,catalase,6.0,6.0,6.0,,triethylamine,,,,,,,,,130.0,,,10116
Au,catalase,6.0,6.0,6.0,,triethylamine,,,,,,,,,130.0,,,10117
Au,catalase,30.0,30.0,30.0,,toluene,,,,,,,,,130.0,,,10118
Au,catalase,33.0,33.0,33.0,,toluene,,,,,,,,,130.0,,,10119
Au,catalase,51.0,51.0,51.0,,triethylamine,,,,,,,,,130.0,,,10120
Au@Pt,peroxidase,20.0,20.0,20.0,,Sodium dodecyl sulfate,0.00246,,TMB+H2O2,0.0,0.0005,,,4.0,25.0,,,10121
Au@Pt,peroxidase,20.0,20.0,20.0,,Sodium dodecyl sulfate,0.00538,,Ag+ + TMB+H2O2,0.0,0.0005,,,4.0,25.0,,,10122
Cu2O,peroxidase,30000.0,,,poly(o-anisidine),,0.02,0.0113999999999999,OPD+H2O2,0.05,0.5,132.5,0.7,4.0,25.0,,10.2,10123
Cu2O,peroxidase,30000.0,,,poly(o-anisidine),,170.0,0.0113999999999999,H2O2+OPD,132.5,265.0,0.5,0.7,4.0,25.0,,10.2,10124
Co3O4,peroxidase,,125.0,,,,0.8268,,H2O2+TMB,,,,0.034,4,40.0,,28.44,10125
Co3O4,peroxidase,,125.0,,,,0.01513,,TMB+H2O2,,,,0.034,4,40.0,,28.44,10126
Ru@MnO2,catalase,80.0,80.0,80.0,poly(N-Vinylpyrrolidone),cetrimonium bromide,1.2,0.05,H2O2,0.01,1.0,,0.1,7.4,25.0,-24.4,,10127
Ru@MnO2,catalase,80.0,80.0,80.0,poly(N-Vinylpyrrolidone),cetrimonium bromide,1.2,0.05,H2O2,0.01,1.0,,0.1,6.5,25.0,-24.4,,10128
Ru@MnO2,catalase,80.0,80.0,80.0,poly(N-Vinylpyrrolidone),cetrimonium bromide,1.2,0.05,H2O2,0.01,1.0,,0.1,5.5,25.0,-24.4,,10129
Fe3O4,peroxidase,50.0,50.0,50.0,,CTAB,,,TMB+H2O2,,,,,3.6,37.0,,,10130
Fe3O4,peroxidase,50.0,50.0,50.0,,CTAB,6.35,3.85e-05,H2O2+TMB,,,,,3.6,37.0,,,10131
Fe3O4,peroxidase,50.0,50.0,50.0,,CTAB,15.37,9.06e-05,TMB+H2O2,,,,,3.6,37.0,,,10132
Au,oxidase,50.0,50.0,50.0,,,,,glucose+O2,,,,,7.4,37.0,,,10133
Au,oxidase,50.0,50.0,50.0,,,,,glucose+O2,,,,,3.6,37.0,,,10134
Au-Pt/SiO2,peroxidase,7.5,7.5,7.5,,,0.01,0.001,H2O2+TMB,0.1,1.0,0.6,1.8,5.5,25.0,,,10135
Au-Pt/SiO2,peroxidase,7.5,7.5,7.5,,,0.01,0.001,TMB+H2O2,0.1,1.0,10.0,1.8,5.5,25.0,,,10136
Au,peroxidase,25.0,25.0,25.0,,CTAB,,,TMB+H2O2,0.25,0.5,5.0,0.005,7,25.0,15.7,,10137
Au,peroxidase,25.0,25.0,25.0,,CTAB,,,H2O2+TMB,5e-05,0.00075,0.4,0.005,7,25.0,5.99,,10138
MnO2,peroxidase,300.0,300.0,5.0,,,0.05,0.001,TMB+H2O2,0.01,0.5,0.5,0.0026,~7,25.0,-30.3,,10139
MnO2,peroxidase,300.0,300.0,5.0,,,0.05,0.001,OPD+H2O2,0.01,0.5,0.5,0.0026,~7,25.0,-30.3,,10140
MnO2,peroxidase,300.0,300.0,5.0,,,0.05,0.001,ABTS+H2O2,0.01,0.5,0.5,0.0026,~7,25.0,-30.3,,10141
MnO2,oxidase,300.0,300.0,5.0,,,0.05,0.001,TMB,0.01,0.5,,0.0026,~7,25.0,-30.3,,10142
MnO2,oxidase,300.0,300.0,5.0,,,0.05,0.001,OPD,0.01,0.5,,0.0026,~7,25.0,-30.3,,10143
MnO2,oxidase,300.0,300.0,5.0,,,0.05,0.001,ABTS,0.01,0.5,,0.0026,~7,25.0,-30.3,,10144
Co3O4@NiO,peroxidase,250.0,250.0,250.0,Poly(acrylonitrile),,0.036,,TMB+H2O2,0.0,15.0,,3.0,4,25.0,,,10145
Co3O4@NiO,peroxidase,250.0,250.0,250.0,Poly(acrylonitrile),,8.17,,H2O2+TMB,0.0,,,3.0,4,25.0,,,10146
NiCo2O4,peroxidase,400.0,400.0,400.0,poly(N-Vinylpyrrolidone),Sodium dodecyl sulfate,,,TMB+H2O2,0.01,0.4,20.0,1.0,4.5,25.0,3.0,59.4,10147
NiCo2O4,peroxidase,400.0,400.0,400.0,poly(N-Vinylpyrrolidone),Sodium dodecyl sulfate,,,H2O2+TMB,0.1,4.5,0.08,1.0,4.5,25.0,3.0,59.4,10148
Fe3O4,peroxidase,200.0,200.0,200.0,poly(ethylene glycol),,0.01,0.001,H2O2+TMB,0.01,1.0,0.5,0.02,4.5,25.0,,,10149
Fe3O4,catalase,200.0,200.0,200.0,poly(ethylene glycol),,0.01,0.001,H2O2,0.01,1.0,,0.1,7,25.0,,,10150
Fe3O4,superoxide dismutase,200.0,200.0,200.0,poly(ethylene glycol),,0.01,0.001,O2−,0.01,1.0,,0.1,8,25.0,,,10151
Se,peroxidase,70.0,70.0,70.0,BSA,,,,,,,,,7.2,,,,10152
Fe3O4,peroxidase,4.3,4.3,4.3,,,,,TMB+H2O2,,,500.0,,4.5,25.0,,,10153
Fe3O4,peroxidase,4.3,4.3,4.3,,,,,DAB+H2O2,,,500.0,,4.5,25.0,,,10154
Fe3O4,peroxidase,4.3,4.3,4.3,,,,,OPD+H2O2,,,500.0,,4.5,25.0,,,10155
Pt,peroxidase,2.5,2.5,2.5,,,84.07,,H2O2+TMB,0.3,640.0,416.0,16.2,5.0,25.0,-47.6,,10156
Pt,peroxidase,2.5,2.5,2.5,,,0.42,,TMB+H2O2,0.0,4.0,640.0,16.2,5.0,25.0,-47.6,,10157
Au,peroxidase,2.0,2.0,2.0,poly(ethylene oxide),Sodium citrate,0.0387,0.0009616666666666,TMB+H2O2,0.0,0.208,250.0,,5.5,37.0,,,10158
Au,peroxidase,2.0,2.0,2.0,poly(ethylene oxide),Sodium citrate,0.0387,0.0009616666666666,H2O2+TMB,100.0,500.0,,,,37.0,,,10159
Fe4[Fe(CN)6]3,catalase,100.0,100.0,100.0,agarose,,1.2,0.05,H2O2,,,10.0,,7.4,37.0,,,10160
CeCu,peroxidase,,,,,,9.02,,H2O2+TMB,0.0016,4.03,8.8,,7.0,30.0,,,10161
NiPtPd,peroxidase,,,,,,2.6,,H2O2+TMB,0.0016,1.0,8.8,,7.0,30.0,,,10162
CeCu,peroxidase,,,,,,0.32,,TMB+H2O2,0.02,4.0,8.8,,7.0,30.0,,,10163
NiPtPd,peroxidase,,,,,,0.35,,TMB+H2O2,0.05,2.5,8.8,,7.0,30.0,,,10164
CeO2,oxidase,5.0,5.0,5.0,,,0.18,0.0012,ABTS,0.5,0.5,,0.2,4,25.0,,,10165
CeO2,oxidase,5.0,5.0,5.0,,,0.062,0.00055,ABTS+H2O2,0.5,0.5,1.0,0.2,4,25.0,,,10166
CeO2,oxidase,5.0,5.0,5.0,,,1.5,6.900000000000001e-05,TMB,0.5,0.5,,0.2,4,25.0,,,10167
CeO2,oxidase,5.0,5.0,5.0,,,0.14,6.3e-05,TMB+H2O2,0.5,0.5,1.0,0.2,4,25.0,,,10168
Na2TeO3,peroxidase,,,,,,,,,,,,,,,,,10169
Mn3O4,superoxide dismutase,10.0,10.0,10.0,DSPE-PEG,Oleylamine,1.0,1.0,Xanthine + Xanthine oxidase,,,,0.01,7.52,37.0,,,10170
Mn3O4,catalase,10.0,10.0,10.0,DSPE-PEG,Oleylamine,1.0,1.0,H2O2,,,40.0,0.01,7.52,37.0,,,10171
Cu4O3,oxidase,,,,,,0.1,0.0003488333333333,OPD,,,,,~7,25.0,,,10172
Cu4O3,oxidase,,,,,,0.1,7.016666666666667e-05,DA,,,,,~7,25.0,,,10173
Cu4O3,oxidase,,,,,,0.1,0.0001111666666666,DA,,,,,~7,25.0,,,10174
Cu4O3,peroxidase,,,,,,0.1,0.0003488333333333,OPD+H2O2,,,5.0,,~7,25.0,,,10175
Pt,peroxidase,18.0,18.0,18.0,poly(N-Vinylpyrrolidone),,0.00081,1.2e-07,TMB+H2O2,0.5,0.5,5.0,,4.0,25.0,,,10176
Pt,peroxidase,18.0,18.0,18.0,poly(N-Vinylpyrrolidone),,0.0069,9.9e-08,H2O2+TMB,5.0,5.0,0.5,,4.0,25.0,,,10177
CeO2,peroxidase,5000.0,5000.0,5000.0,multi-monomer,,2.8858,0.00641,OPDA+H2O2,0.05,0.8,,,7.4,22.0,,80.0,10178
Na2SeO3,peroxidase,,,,,,0.02,0.001,TMB+H2O2,0.001,0.1,0.1,0.01,7.4,37.0,,,10179
Na2SeO3,peroxidase,,,,,,0.02,0.001,H2O2+TMB,0.001,0.1,0.1,0.01,7.4,37.0,,,10180
Na2SeO3,peroxidase,,,,,,0.02,0.001,TMB+H2O2,0.001,0.1,0.1,0.01,7.4,37.0,,,10181
Na2SeO3,peroxidase,,,,,,0.02,0.001,H2O2+TMB,0.001,0.1,0.1,0.01,7.4,37.0,,,10182
Pd-Ir,peroxidase,3.3,3.3,3.3,poly(N-Vinylpyrrolidone),Ascorbic acid,0.12,1.2,TMB + H2O2,0.01,0.5,2000.0,,4.0,25.0,,,10183
Pd-Ir,peroxidase,5.9,5.9,5.9,poly(N-Vinylpyrrolidone),Ascorbic acid,0.15,1.8,TMB + H2O2,0.01,0.5,2000.0,,4.0,25.0,,,10184
Pd-Ir,peroxidase,9.8,9.8,9.8,poly(N-Vinylpyrrolidone),Ascorbic acid,0.18,2.5,TMB + H2O2,0.01,0.5,2000.0,,4.0,25.0,,,10185
Pd-Ir,peroxidase,13.0,13.0,13.0,poly(N-Vinylpyrrolidone),Ascorbic acid,0.2,3.0,TMB + H2O2,0.01,0.5,2000.0,,4.0,25.0,,,10186
Fe3O4,peroxidase,1.5,1.5,1.5,,,10.1,1.996e-05,TMB+H2O2,5.0,50.0,,,6.5,25.0,,,10187
Fe3O4,peroxidase,1.5,1.5,1.5,,,,,H2O2+TMB,5.0,50.0,,,6.5,25.0,,,10188
Fe4[Fe(CN)6]3,peroxidase,49.0,49.0,49.0,,,,,H2O2,0.01,1.0,,,6.0,25.0,,,10189
Fe4[Fe(CN)6]3,peroxidase,49.0,49.0,49.0,,,0.01,,lactate,0.01,1.0,,,6.0,25.0,,,10190
FeN5,oxidase,,,,,,,,,,,,,,900.0,,,10191
Au,peroxidase,30.0,30.0,30.0,,,,,TMB+H2O2,0.2,0.2,700.0,,4.4,25.0,,,10192
Au,peroxidase,60.0,60.0,60.0,,,,,TMB+H2O2,0.2,0.2,700.0,,4.4,25.0,,,10193
Au,peroxidase,10.0,10.0,10.0,,,,,H2O2+hydroquinone,,,0.4,,7.5,37.0,,,10194
Fe3O4@Pt,peroxidase,2.0,2.0,2.0,,,0.1,0.0001199999999999,TMB+H2O2,0.0,1.4,1000.0,3.0,4.4,25.0,,,10195
Fe3O4@Pt,peroxidase,2.0,2.0,2.0,,,500.0,8e-05,H2O2+TMB,0.0,1400.0,0.5,3.0,4.4,25.0,,,10196
Au,peroxidase,2500.0,140.0,,,,,,H2O2+TMB,,,,,6,,,,10197
Au@Pt,peroxidase,,,,,,,,,,,,,,,,,10198
Fe3O4,peroxidase,25.0,25.0,25.0,,,,,TMB+H2O2,0.001,0.5,5.0,0.5,4,25.0,,,10199
Fe3O4,peroxidase,25.0,25.0,25.0,,,0.001,0.001,H2O2+TMB,0.001,0.5,5.0,0.5,4,25.0,,,10200
CeVO4,superoxide dismutase,50.0,,,EDTA,,,,,,,,,12,180.0,19.7,110.1,10201
CeVO4,superoxide dismutase,100.0,,,EDTA,,,,,,,,,9,180.0,33.3,157.5,10202
CeVO4,superoxide dismutase,150.0,,,EDTA,,,,,,,,,10,180.0,27.6,149.8,10203
CeVO4,superoxide dismutase,,,,,,,,TMB+H2O2,,,0.3,,7.4,25.0,,,10204
CeVO4,superoxide dismutase,,,,,,,,TMB+H2O2,,,0.3,,7.4,25.0,,,10205
CeVO4,superoxide dismutase,,,,,,,,TMB+H2O2,,,0.3,,7.4,25.0,,,10206
MoS2-Au@Pt,peroxidase,,,,,CTAB,0.1,0.001,TMB+H2O2,0.0008,0.0544,,12.0,4.0,35.0,,,10207
