formula,activity,shape,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
,peroxidase,,,,,,,0.18,6.73e-05,H2O2+TMB,,,,,7.4,25.0,,,10061
,peroxidase,,,,,,,0.002,1400000000.0,TMB+H2O2,,,,,7.4,25.0,,,10062
,peroxidase,,,,,,,0.0064,1900000000.0,TMB+H2O2,,,,,6.0,25.0,,,10063
,peroxidase,,,,,,,,,TMB+H2O2,,,,,6.0,25.0,,,10064
,peroxidase,,,,,,,,,TMB+H2O2,,,,,6.5,25.0,,,10065
Cys-AuNCs,peroxidase,spherical,2.5,2.5,2.5,,,,,TMB+H2O2,0.0005,1.0,10.0,,,25.0,,,10066
H10Q,peroxidase,,,,,,,0.69,,H2O2+TMB,0.001,0.01,1.5,,7.0,5.0,,,10067
H10Q,peroxidase,,,,,,,0.69,,TMB+H2O2,0.001,0.01,1.5,,7.0,5.0,,,10068
H10A,peroxidase,,,,,,,1.0,,H2O2+TMB,0.001,0.01,1.5,,7.0,5.0,,,10069
H10A,peroxidase,,,,,,,1.0,,TMB+H2O2,0.001,0.01,1.5,,7.0,5.0,,,10070
Fe3O4,peroxidase,cubic,100.0,100.0,100.0,,Sodium citrate,0.05,0.1,H2O2+TMB,0.01,0.1,1.0,0.01,7,25.0,-20.0,100.0,10071
Fe3O4,peroxidase,cubic,100.0,100.0,100.0,,Sodium citrate,0.05,0.1,TMB+H2O2,0.01,0.1,1.0,0.01,7,25.0,-20.0,100.0,10072
CaO2,peroxidase,spherical,90.0,90.0,90.0,,,,,,,,,,,35.0,,,10073
CaO2/DOX,peroxidase,spherical,95.0,95.0,95.0,,,,,,,,,,,35.0,,,10074
CaO2/DOX@SiO2/DOX,peroxidase,spherical,120.0,120.0,120.0,Poly(N-Vinylpyrrolidone),,,,,,,,,,,,,10075
CaO2/DOX@SiO2/DOX-MnO2,peroxidase,spherical,125.0,125.0,125.0,poly(allylamine hydrochloride),,,,,,,,,6.5,,-26.0,,10076
CaO2/DOX@SiO2/DOX-MnO2,peroxidase,spherical,125.0,125.0,125.0,poly(allylamine hydrochloride),,,,H2O2+TMB,0.05,1.0,0.04,2.0,5.5,,-26.0,,10077
CaO2/DOX@SiO2/DOX-MnO2,peroxidase,spherical,125.0,125.0,125.0,poly(allylamine hydrochloride),,,,TMB+H2O2,0.05,1.0,0.04,2.0,5.5,,-26.0,,10078
CDs,peroxidase,spherical,6.0,6.0,6.0,,,,,H2O2+MR,,,,0.01,,,,,10079
CDs,peroxidase,spherical,6.0,6.0,6.0,,,,,H2O2+MO,,,,0.01,,,,,10080
,glutathione peroxidase,,,,,,,,,GSH + Cumene hydroperoxide,,,,,,37.0,,,10081
,peroxidase,,,,,,,0.02,3.4000000000000007e-05,TMB+H2O2,0.003,0.03,0.03,,7,25.0,,,10082
,catalase,,,,,,,,,H2O2,,,0.25,,,4.0,,,10083
,catalase,,,,,,,,,H2O2,,,0.25,,,4.0,,,10084
,glutathione peroxidase,,,,,,,,,H2O2,,,1.0,,,,,,10085
,glutathione peroxidase,,,,,,,,,glutathione,,,0.25,,,,,,10086
,peroxidase,,,,,,,0.0579,0.0009,H2O2+syringaldazine,0.01,1.0,0.05,,7.4,30.0,,,10087
,peroxidase,,,,,,,0.4348,0.00728,H2O2+syringaldazine,0.01,1.0,0.05,,7.4,30.0,,,10088
V2O5,glutathione peroxidase,nanofiber,745.0,60.0,,,,0.0444,0.003205,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,32.9,10089
V2O5,glutathione peroxidase,sheet,620.0,25.0,,,,0.0573,0.003885,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,6.2,10090
V2O5,glutathione peroxidase,flower,5400.0,,,,,0.0925,0.0056683333333333,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,21.1,10091
V2O5,glutathione peroxidase,spherical,335.0,335.0,335.0,,,0.1437,0.007645,H2O2+GSH,0.0,0.4,2.0,0.02,7.4,25.0,,9.6,10092
V2O5,glutathione peroxidase,nanofiber,745.0,60.0,,,,1.28,0.004655,GSH+H2O2,0.0,6.0,0.2,0.02,7.4,25.0,,32.9,10093
V2O5,glutathione peroxidase,sheet,620.0,25.0,,,,3.4250000000000003,0.0077883333333333,GSH+H2O2,0.0,6.0,0.2,0.02,7.4,25.0,,6.2,10094
V2O5,glutathione peroxidase,flower,5400.0,,,,,1.671,0.007215,GSH+H2O2,0.0,6.0,0.2,0.02,7.4,25.0,,21.1,10095
V2O5,glutathione peroxidase,spherical,335.0,335.0,335.0,,,1.958,0.01004,GSH+H2O2,0.0,6.0,0.2,0.02,7.4,25.0,,9.6,10096
,peroxidase,,,,,,,,,TMB+H2O2,,,,,7.6,4.0,,,10097
C10H11NO6Se,glutathione peroxidase,,,,,,,0.5,0.0002733333333333,GSH + t-BuOOH,,,0.5,,7.4,37.0,,,10098
C13H19NO4Se,glutathione peroxidase,,,,,,,0.5,0.0002046666666666,GSH + t-BuOOH,,,0.5,,7.4,37.0,,,10099
C14H21NO4Se,glutathione peroxidase,,,,,,,0.5,0.0001111666666666,GSH + t-BuOOH,,,0.5,,7.4,37.0,,,10100
C13H17NO4Se,glutathione peroxidase,,,,,,,0.5,0.0001023333333333,GSH + t-BuOOH,,,0.5,,7.4,37.0,,,10101
,peroxidase,,,,,,,,,H2O2+KI,,,1.66,,5.0,,,,10102
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,0.25,,7.4,37.0,,,10103
Fe3O4,peroxidase,spherical,5.0,5.0,5.0,,,0.25,,H2O2+TMB,,,0.1,0.05,4.0,25.0,,,10104
CoO,peroxidase,nanostructure,4.5,4.5,4.5,,,3.29,,H2O2+TMB,0.2,30.0,0.7,0.03,4.5,37.0,,489.0,10105
GSH,peroxidase,,,,,,,,,GSH+H2O2,,,4.0,,7.0,37.0,,,10106
,peroxidase,,,,,,,,,H2O2+TMB,,,,,6.2,20.0,,,10107
,peroxidase,,,,,,,,,TMB+H2O2,,,,,6.0,20.0,,,10108
,glutathione peroxidase,,,,,,,,,,,,,,,,,,10109
,peroxidase,,,,,,,,,KI+H2O2,,,0.33,,5.0,28.0,,,10110
,,,,,,,,,,,,,,,,,,,10111
TPO,peroxidase,,,,,,,,,Tg + KI,,,,,7.4,20.0,,,10112
MoS2,peroxidase,dots,10.0,10.0,10.0,,,4.82,8.87e-06,TMB+H2O2,,,10.0,,4.0,25.0,,,10113
MoS2,peroxidase,dots,60.0,60.0,60.0,,,0.4,0.0001669999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10114
MoS2,peroxidase,dots,20.0,20.0,20.0,,,2.65,0.0003319999999999,TMB+H2O2,,,10.0,,4.0,25.0,,,10115
MoS2,peroxidase,dots,10.0,10.0,10.0,,,23.5,9.85e-07,H2O2+TMB,,,0.1,,4.0,25.0,,,10116
MoS2,peroxidase,dots,60.0,60.0,60.0,,,7.54,0.000355,H2O2+TMB,,,0.1,,4.0,25.0,,,10117
MoS2,peroxidase,dots,20.0,20.0,20.0,,,17.19,4.599999999999999e-05,H2O2+TMB,,,0.1,,4.0,25.0,,,10118
,peroxidase,,,,,,,,,H2O2 + guaiacol,,,145.0,,5.6,30.0,,,10119
,glutathione peroxidase,,,,,,,,,H2O2+TMB,,,8.8,,7.6,37.0,,,10120
,peroxidase,,,,,,,,,H2O2+TMB,0.3,1.5,,,,,,,10121
,peroxidase,,,,,,,,,TMB+H2O2,1.4,4.0,,,,,,,10122
,peroxidase,,,,,,,,,,,,,,,,,,10123
,peroxidase,,,,,,,,,,,,,,,4.0,,,10124
,peroxidase,,,,,,,,,,,,,,,20.0,,,10125
,peroxidase,,,,,,,,,,,,,,,37.0,,,10126
,peroxidase,,,,,,,,,,,,,,,,,,10127
,glutathione peroxidase,,,,,,,,,,,,,,,,,,10128
,glutathione peroxidase,,,,,,,,,,,,,,,,,,10129
Fe3O4/Pβ-CD,peroxidase,spherical,300.0,300.0,300.0,β-cyclodextrin,,,,H2O2+TMB,0.04,20.0,1.4,2.0,3.0,25.0,,,10130
Fe3O4/Pβ-CD,peroxidase,spherical,300.0,300.0,300.0,β-cyclodextrin,,,,TMB+H2O2,0.08,10.0,1.4,2.0,3.0,25.0,,,10131
C,peroxidase,spherical,100.0,100.0,100.0,,,0.14,0.0022,H2O2+TMB,,,100.0,0.01,4.5,37.0,,,10132
C,peroxidase,spherical,100.0,100.0,100.0,,,0.07,0.0045,TMB+H2O2,,,100.0,0.01,4.5,37.0,,,10133
MoS2,peroxidase,spherical,1.63,1.63,1.63,,,6.64,0.000107,H2O2+TMB,0.1,,10.0,,4.0,25.0,,,10134
MoS2,peroxidase,spherical,1.63,1.63,1.63,,,0.52,0.0002339999999999,TMB+H2O2,10.0,,0.1,,4.0,25.0,,,10135
MoS2,peroxidase,spherical,1.63,1.63,1.63,,,15.85,1.6499999999999998e-05,H2O2+TMB,0.1,,10.0,,4.0,25.0,,,10136
MoS2,peroxidase,spherical,1.63,1.63,1.63,,,1.71,0.000175,TMB+H2O2,10.0,,0.1,,4.0,25.0,,,10137
HRP,peroxidase,,,,,,,,,,,,,,8.5,,,,10138
Pd,peroxidase,spherical,4.8,4.8,4.8,,,0.033,25.69,TMB+H2O2,,,125.0,,4.0,20.0,,,10139
Pd,peroxidase,spherical,4.8,4.8,4.8,,,91.29,34.05,H2O2+TMB,,,0.125,,4.0,20.0,,,10140
Pd,peroxidase,spherical,5.1,5.1,5.1,,,0.045,40.68,TMB+H2O2,,,125.0,,4.0,20.0,,,10141
Pd,peroxidase,spherical,5.1,5.1,5.1,,,63.86,41.63,H2O2+TMB,,,0.125,,4.0,20.0,,,10142
Pd,peroxidase,spherical,4.8,4.8,4.8,,,0.04,22.83,TMB+H2O2,,,125.0,,4.0,20.0,,,10143
Pd,peroxidase,spherical,4.8,4.8,4.8,,,97.02,29.67,H2O2+TMB,,,0.125,,4.0,20.0,,,10144
,peroxidase,,,,,,,,,TMB+H2O2,,,4.0,,6.8,22.5,,,10145
,peroxidase,,,,,,,,,H2O2+TMB,,,6.0,,6.8,22.5,,,10146
SeO32-,glutathione peroxidase,,,,,,,0.5,,H2O2+GSH,0.1,5.0,20.0,,6.8,20.0,,,10147
(CyaSe)2,glutathione peroxidase,,,,,,,0.5,,H2O2+GSH,0.1,5.0,20.0,,6.8,20.0,,,10148
3-amino-9-ethylcarbazole,peroxidase,,,,,,,,,,,,,,5.0 - 5.2,25.0,,,10149
o-tolidine,peroxidase,,,,,,,,,,,,,,,25.0,,,10150
FeIII–TMPyP,peroxidase,,,,,,,8.6,,H2O2+pyrogallol,,,50.0,,8.0,25.0,,,10151
HRP,peroxidase,,,,,,,0.8,,H2O2+pyrogallol,,,50.0,,8.0,25.0,,,10152
,,,,,,,,,,H2O2+TMB,,,,,,,,,10153
,,,,,,,,,,TMB+H2O2,,,,,,,,,10154
GrdB,peroxidase,,,,,,,0.6,,TMB+H2O2,,,0.5,,7.5,21.0,,,10155
GrdB,peroxidase,,,,,,,0.9,,TMB+H2O2,,,0.5,,7.5,21.0,,,10156
GrdB,peroxidase,,,,,,,0.26,,TMB+H2O2,,,0.5,,7.5,21.0,,,10157
,peroxidase,,,,,,,,,,,,,,,,,,10158
AuNPs/MCA,peroxidase,spherical,3.0,3.0,3.0,,,0.04,0.0001,ABTS+H2O2,0.01,0.1,1.0,,6.5,37.0,,,10159
AuNPs/MCA,peroxidase,spherical,3.0,3.0,3.0,,,0.02,0.0001,H2O2+ABTS,0.01,0.1,1.0,,6.5,37.0,,,10160
Pd@Pt,catalase,flower,40.0,40.0,40.0,pluronic f127,Ascorbic acid,,,,,,,,,35.0,,,10161
Mn3O4,catalase,flower,100.0,100.0,100.0,,Oleic acid,,,,,,,,,25.0,,,10162
Mn3O4/Pd@Pt,catalase,star,,,,Poly(diallyldimethylammonium chloride),,,,,,,,,,,,,10163
Mn3O4/Pd@Pt,peroxidase,star,,,,,,,,H2O2 + HQ,,,2.0,100.0,7.4,25.0,,,10164
Pd@Pt,peroxidase,flower,,,,,,,,H2O2 + HQ,,,2.0,100.0,7.4,25.0,,,10165
Fe3O4@Pt,peroxidase,spherical,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,22.17,0.139,H2O2+TMB,0.0,10.0,,0.0005,4.0,50.0,-30.0,,10166
Fe3O4@Pt,catalase,spherical,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,H2O2,0.0,30.0,,,2-11,,-30.0,,10167
Fe3O4@Pt,oxidase,spherical,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,glucose,1.0,4.0,,,,,-30.0,,10168
Fe3O4@Pt,superoxide dismutase,spherical,8.0,8.0,8.0,poly(ethylene glycol),Oleylamine,,,O2•−,,,,,,,-30.0,,10169
,,,,,,,,,,,,,,,,,,,10170
Mn3[Co(CN)6]2,catalase,spherical,80.0,80.0,80.0,Poly(N-Vinylpyrrolidone),,,,H2O2,,,10.0,,6.5,25.0,,,10171
Mn3[Co(CN)6]2,catalase,spherical,80.0,80.0,80.0,Poly(N-Vinylpyrrolidone),,,,H2O2,,,10.0,,6.5,25.0,,,10172
Mn3[Co(CN)6]2,catalase,spherical,80.0,80.0,80.0,Poly(N-Vinylpyrrolidone),,,,H2O2,,,10.0,,6.5,25.0,,,10173
,peroxidase,,,,,,,,,,,,,,5.5 - 5.6,24.0,,,10174
,peroxidase,,,,,,,,,H2O2+pyrogallol,,,,,,0.0,,,10175
,peroxidase,,,,,,,,,,,,,,,,,,10176
,peroxidase,,,,,,,,,catechol,,,,,7.0,0.0,,,10177
,peroxidase,,,,,,,,,,,,,,,,,,10178
Pt,catalase,spherical,3.5,3.5,3.5,Poly(N-Vinylpyrrolidone),,,,H2O2,,,,,,37.0,,,10179
Au,peroxidase,spherical,2.0,2.0,2.0,,,,,glucose,,,,,,37.0,,,10180
P@Pt@P,catalase,spherical,130.0,130.0,130.0,,,0.1,0.01,H2O2,0.01,0.1,,0.1,,37.0,,,10181
P@Pt@P,catalase,spherical,130.0,130.0,130.0,,,0.1,0.01,H2O2+TMB,0.01,0.1,0.14,0.1,,37.0,,,10182
P@Pt@P-Au,catalase,spherical,130.0,130.0,130.0,,,0.1,0.01,H2O2,0.01,0.1,,0.1,,37.0,,,10183
P@Pt@P-Au,catalase,spherical,130.0,130.0,130.0,,,0.1,0.01,H2O2+TMB,0.01,0.1,0.14,0.1,,37.0,,,10184
P@Pt@P-Au,peroxidase,spherical,130.0,130.0,130.0,,,,,glucose,,,,0.1,,37.0,,,10185
Cu 1.8S,peroxidase,plates,160.0,160.0,160.0,Poly(N-Vinylpyrrolidone),,37.1,,TMB+H2O2,0.5,10.0,100.0,30.0,4.35,25.0,,,10186
Cu 1.8S,peroxidase,plates,160.0,160.0,160.0,Poly(N-Vinylpyrrolidone),,1.72,,H2O2+TMB,15.0,,100.0,30.0,4.35,25.0,,,10187
,glutathione peroxidase,,,,,,,0.00179,,H2O2+GSH,,,1.19,,7.0,30.0,,,10188
,glutathione peroxidase,,,,,,,0.0030299999999999,,H2O2+GSH,,,1.19,,7.0,30.0,,,10189
,glutathione peroxidase,,,,,,,0.0018,,H2O2+GSH,,,1.19,,7.0,30.0,,,10190
,glutathione peroxidase,,,,,,,0.00167,,H2O2+GSH,,,1.19,,7.0,30.0,,,10191
,glutathione peroxidase,,,,,,,0.00179,,GSH+H2O2,,,0.635,,7.0,30.0,,,10192
,glutathione peroxidase,,,,,,,0.0030299999999999,,GSH+H2O2,,,0.635,,7.0,30.0,,,10193
,glutathione peroxidase,,,,,,,0.0018,,GSH+H2O2,,,0.635,,7.0,30.0,,,10194
,glutathione peroxidase,,,,,,,0.00167,,GSH+H2O2,,,0.635,,7.0,30.0,,,10195
K12[Ga4L6],hydrolase,,,,,,,,,,,,,,10,50.0,,,10196
,peroxidase,,,,,,,,,TMB+H2O2,0.1,1.0,0.25,,7.2,37.0,,,10197
,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,0.25,,7.2,37.0,,,10198
,,,,,,,,,,,,,,,,,,,10199
,peroxidase,,,,,,,,,TMB+H2O2,,,5.0,,5.8,25.0,,,10200
Hb,peroxidase,,,,,,,,,H2O2,0.0018999999999999,0.68,,,4.5,4.0,,,10201
,glutathione peroxidase,,,,,,,0.007,0.0008,H2O2 + GSH,0.007,0.007,0.24,,7.6,4.0,,,10202
,glutathione peroxidase,,,,,,,0.007,0.0008,GSH + H2O2,0.24,0.24,0.007,,7.6,4.0,,,10203
CeO2,catalase,spherical,6.0,6.0,6.0,,,,,,,,,,,50.0,50.0,,10204
,glutathione peroxidase,,,,,,,,,,,,,,,25.0,,,10205
Na2SeO3,glutathione peroxidase,,,,,,,,,H2O2+GSH,,,0.25,,,,,,10206
Na2SeO3,glutathione peroxidase,,,,,,,,,GSH+H2O2,,,0.25,,,,,,10207
MnO2,peroxidase,nanofiber,,45.0,,poly(ethylene glycol),,0.08,0.0006,ABTS+H2O2,0.001,1.0,3.0,,3.5,25.0,,,10208
MnO2,peroxidase,nanofiber,,45.0,,poly(ethylene glycol),,0.06,0.0006,H2O2+ABTS,0.01,3.0,1.0,,3.5,25.0,,,10209
C,peroxidase,spherical,30.0,30.0,30.0,,,,,H2O2+TMB,1e-05,0.5,8.0,0.5,4,25.0,,,10210
C,peroxidase,spherical,30.0,30.0,30.0,,,,,TMB+H2O2,0.0005,1.0,20.0,0.5,4,37.0,,,10211
C,peroxidase,spherical,30.0,30.0,30.0,,,,,H2O2+TMB,0.0005,1.0,8.0,0.5,4,25.0,,,10212
C,peroxidase,spherical,30.0,30.0,30.0,,,,,H2O2+TMB,0.01,0.075,8.0,0.5,4,25.0,,,10213
,oxidase,,,,,,,,,IA + TCP,0.0,5.0,0.5,,5.0,25.0,,,10214
,oxidase,,,,,,,,,TCP + IA,0.0,5.0,1.0,,5.0,25.0,,,10215
Hb,peroxidase,,,,,,,1.1,,CPZ + H2O2,,,90.0,,3.0,25.0,,,10216
Hb,peroxidase,,,,,,,1500.0,,H2O2 + CPZ,,,16.0,,3.0,25.0,,,10217
,peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,10218
,peroxidase,,,,,,,,,H2O2+TMB,,,,,,,,,10219
AuNPs,peroxidase,spherical,15.0,15.0,15.0,,,,,TMB+H2O2,,,,,,,-20.0,,10220
AuNPs,peroxidase,spherical,15.0,15.0,15.0,,,,,H2O2+TMB,,,,,,,-20.0,,10221
H2O2,peroxidase,,,,,,,,,H2O2+TMB,0.001,0.1,,,6.0,,,,10222
H2O2,peroxidase,,,,,,,,,TMB+H2O2,0.0015,,0.0015,,6.0,,,,10223
,peroxidase,,,,,,,0.0095,,H2O2+TOOS,,,1.0,,5.5,37.0,,,10224
,glutathione peroxidase,,,,,,,,,H2O2 + GSH,,,,,,,,,10225
,peroxidase,,,,,,,,,H2O2 + O-dianisidine,,,,,6.0,,,,10226
,,,,,,,,,,,,,,,,,,,10227
,,,,,,,,,,,,,,,,,,,10228
C6H8N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10229
C8H12N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10230
C18H16N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10231
C10H16N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10232
C14H24N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10233
C30H24N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10234
C30H48N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10235
C14H20N2O4Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10236
C16H24N2O2Se,glutathione peroxidase,,,,,,,,,TBHP + BnSH,,,,,,25.0,,,10237
,peroxidase,,,,,,,0.17,,H2O2+TMB,,,5.0,,,30.0,,,10238
,glutathione peroxidase,,,,,,,,,H2O2 + GSH,,,,,,,,,10239
Fe3O4,peroxidase,spherical,350.0,350.0,350.0,,,,,H2O2+BA,4e-05,0.02,1.4,1.0,3.0,25.0,,,10240
Fe3O4,peroxidase,spherical,350.0,350.0,350.0,,,,,TMB+H2O2,5e-05,0.01,1.4,1.0,7.0,25.0,,,10241
Fe3O4,peroxidase,spherical,350.0,350.0,350.0,,,,,H2O2+PNP,0.0001,0.03,0.008,1.0,3.0,25.0,,,10242
,catalase,,,,,,,,,H2O2,,,,,7.0,1.0,,,10243
,peroxidase,,,,,,,,,H2O2 + guaiacol,,,,,6.1,1.0,,,10244
cyt c,peroxidase,,,,,,,,,H2O2+TMB,,,0.025,,7.4,25.0,,,10245
cyt c,peroxidase,,,,,,,,,TMB+H2O2,,,0.025,,7.4,25.0,,,10246
,peroxidase,,,,,,,0.116,,CA+H2O2,,,0.5,,5.0,25.0,,,10247
,peroxidase,,,,,,,0.068,,CA+H2O2,,,0.5,,8.0,25.0,,,10248
,peroxidase,,,,,,,0.166,,H2O2+CA,,,,,5.0,25.0,,,10249
,peroxidase,,,,,,,0.085,,H2O2+CA,,,,,8.0,25.0,,,10250
Au,peroxidase,ellipsoidal,14.0,14.0,14.0,,,0.2,5.59e-08,TMB+H2O2,,,373.0,0.0477999999999999,3.6,25.0,,,10251
Au,peroxidase,ellipsoidal,14.0,14.0,14.0,,,572.0,9.77e-08,H2O2+TMB,,,,0.0477999999999999,3.6,25.0,,,10252
