doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,surface_chemistry,polymer_used_in_synthesis,surfactant,reaction_type
10.1021.acsabm.9b01012,mistral,mistral-large-latest,./prompts/prompt5.txt,19047,53115,1202,2826,BSA-PtAu@CNS,peroxidase,,nanosheet,100-200 nm,150.0,100.0,200.0,100-200 nm,150.0,100.0,200.0,,,,,,,,,0.230 mM,0.23,8.160 mM/s,8.16,921.336 cm3 g-1,,,,,,0.01 mM,0.01,0.65 mM,0.65,20 μg mL-1,,10 mM,10.0,4.0,,"[""Zinc nitrate hexahydrate (Zn(NO3)2\u00b76H2O)"", ""2-Methylimidazole (C4H6N2)"", ""Chloroplatinic(IV) acid hexahydrate (H2PtCl6\u00b76H2O)"", ""Ethanol (C2H5OH)"", ""Potassium hydroxide (KOH)"", ""Hydrogen peroxide 30% aqueous solution (H2O2)"", ""Sodium acetate (C2H3NaO2)"", ""Glacial acetic acid (C2H4O2)"", ""Sodium borohydride (NaBH4)"", ""Tetrachloroauric(III) acid tetrahydrate (HAuCl4\u00b74H2O)"", ""3,3\u2032,5,5\u2032-Tetramethylbenzidine (TMB, C16H20N2)"", ""Albumin from Bovine Serum""]",BSA,,,TMB+H2O2
10.1007.bf00706676,mistral,mistral-large-latest,./prompts/prompt5.txt,8473,26962,268,744,,peroxidase,,,,,,,,,,,,,,,,,,,~ 0.05 - 0.1 mM,,,,,,,,,,,,,,,,,,7.0,,[],,,,
10.1021.acs.analchem.8b03889,mistral,mistral-large-latest,./prompts/prompt5.txt,19442,53189,715,2140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1002.adma.202002439,mistral,mistral-large-latest,./prompts/prompt5.txt,31974,87355,2356,4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1086.341515,mistral,mistral-large-latest,./prompts/prompt5.txt,11012,33687,277,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1186.s40643-020-00345-3,mistral,mistral-large-latest,./prompts/prompt5.txt,11518,37510,359,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1079.bjn19880076,mistral,mistral-large-latest,./prompts/prompt5.txt,15415,46504,17,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.s0021-9673(01)95374-9,mistral,mistral-large-latest,./prompts/prompt5.txt,7171,20748,650,1520,HRP,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mM,2.5,160 mM,160.0,ca. 15 pg/ml,,11.12 mM,11.12,5.0,,"[""guaiacol"", ""hydrogen peroxide"", ""bovine serum albumin"", ""ribonuclease A""]",,,,guaiacol+H2O2
10.1016.s0021-9673(01)95374-9,mistral,mistral-large-latest,./prompts/prompt5.txt,7171,20748,650,1520,HRP,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78 mM,2.78,890 mM,890.0,ca. 15 pg/ml,,40 mM,40.0,5.0,,"[""guaiacol"", ""hydrogen peroxide"", ""bovine serum albumin"", ""ribonuclease A""]",,,,H2O2+guaiacol
10.1016.0167-4838(94)00221-2,mistral,mistral-large-latest,./prompts/prompt5.txt,9344,26680,323,835,,peroxidase,,,,,,,,,,,,,,,,,,,0.33 mM,0.33,,,,,,,,,0.05 mM,0.05,0.33 mM,0.33,,,12 mM,12.0,6,27 °C,"[""3,3'-diaminobenzidine"", ""hydrogen peroxide"", ""guaiacol"", ""sodium phosphate""]",,,,guaiacol+H2O2
10.1071.PP9950627,mistral,mistral-large-latest,./prompts/prompt5.txt,6822,23130,606,1463,,polyphenol oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8 pH,25 °C,"[""sodium phosphate buffer"", ""PVP-40"", ""Triton X-100"", ""sodium dithionite"", ""4-methylcatechol""]",,,,4-methylcatechol
10.1071.PP9950627,mistral,mistral-large-latest,./prompts/prompt5.txt,6822,23130,606,1463,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5 pH,1 °C,"[""sodium phosphate buffer"", ""PVP-40"", ""tropolone"", ""hydrogen peroxide""]",,,,tropolone+hydrogen peroxide
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C13H9NOSe,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 nM,9.999999999999999e-06,,,"[""dried, distilled DMSO""]",,,,H2O2+TMB
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C13H9NOSe,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""dried, distilled DMSO""]",,,,TMB+H2O2
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C19H15NO2Se,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 nM,9.999999999999999e-06,,,"[""dried, distilled DMSO""]",,,,H2O2+TMB
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C19H15NO2Se,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""dried, distilled DMSO""]",,,,TMB+H2O2
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C12H10Te,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 nM,9.999999999999999e-06,,,"[""dried, distilled DMSO""]",,,,H2O2+TMB
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C12H10Te,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""dried, distilled DMSO""]",,,,TMB+H2O2
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C12H10Se,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 nM,9.999999999999999e-06,,,"[""dried, distilled DMSO""]",,,,H2O2+TMB
10.1093.carcin.16.8.1815,mistral,mistral-large-latest,./prompts/prompt5.txt,17651,55093,2142,5226,C12H10Se,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""dried, distilled DMSO""]",,,,TMB+H2O2
10.1111.j.1399-3054.1994.tb00423.x,mistral,mistral-large-latest,./prompts/prompt5.txt,11566,31917,560,1546,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mM,5.0,,,,,13 mM,13.0,6.5,25 °C,"[""ethephon""]",,,,H2O2+guaiacol
10.1111.j.1399-3054.1994.tb00423.x,mistral,mistral-large-latest,./prompts/prompt5.txt,11566,31917,560,1546,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 mM,13.0,,,,,5 mM,5.0,6.5,25 °C,"[""ethephon""]",,,,guaiacol+H2O2
10.1016.S0021-9258(18)34056-0,mistral,mistral-large-latest,./prompts/prompt5.txt,7386,23247,286,781,Cytochrome c peroxidase,peroxidase,,,,,,,,,,,,,,,,,,,2 uM,0.002,,,,,,,,,,,,,4 nM,,,,7.4 pH,25 C,[],,,,ferrocytochrome c + H2O2
10.1007.s11483-011-9218-z,mistral,mistral-large-latest,./prompts/prompt5.txt,10130,31005,313,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.saa.2018.11.026,mistral,mistral-large-latest,./prompts/prompt5.txt,5866,17921,660,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1021.bi952347y,mistral,mistral-large-latest,./prompts/prompt5.txt,17610,47373,733,1915,H10Q,peroxidase,,,,,,,,,,,,,,,,,,,690000 µM,690.0,23.7 s-1,,,,,,,,,,,,,,,,7.0,5 °C,"[""NAD+"", ""NADP+"", ""NADH"", ""NADPH"", ""(4S)-[4-1H]-NADH"", ""(4S)-[4-2H]NADH"", ""IPTG"", ""Hydrogen peroxide (30%)""]",,,,H2O2+TMB
10.1021.bi952347y,mistral,mistral-large-latest,./prompts/prompt5.txt,17610,47373,733,1915,H10A,peroxidase,,,,,,,,,,,,,,,,,,,1000000 µM,1000.0,27.7 s-1,,,,,,,,,,,,,,,,7.0,5 °C,"[""NAD+"", ""NADP+"", ""NADH"", ""NADPH"", ""(4S)-[4-1H]-NADH"", ""(4S)-[4-2H]NADH"", ""IPTG"", ""Hydrogen peroxide (30%)""]",,,,H2O2+TMB
10.1016.s0304-4238(00)00253-3,mistral,mistral-large-latest,./prompts/prompt5.txt,113060,187282,899,2247,CeO2,TMB,,,,,,,,,,,,,,,,,,,,,,,2 m2,,0.6 mol L-1,,35000 g mol-1,,,,,,,,,,,,,,,,H2O2+TMB
10.1016.s0304-4238(00)00253-3,mistral,mistral-large-latest,./prompts/prompt5.txt,113060,187282,899,2247,CeO2,peroxidase,,,,,,,,,,,,,,,,,,,,,,,2 m2,,0.6 mol L-1,,35000 g mol-1,,,,,,,,,,,,,,,,TMB
10.1016.s0304-4238(00)00253-3,mistral,mistral-large-latest,./prompts/prompt5.txt,113060,187282,899,2247,CeO2,peroxidase,,,,,,,,,,,,,,,,,,,,,,,2 m2,,0.6 mol L-1,,35000 g mol-1,,,,,,,,,,,,,,,,TMB
10.1007.s40820-019-0305-x,mistral,mistral-large-latest,./prompts/prompt5.txt,24854,68133,1532,3748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1039.c2ra20355c,mistral,mistral-large-latest,./prompts/prompt5.txt,5564,18625,600,1664,Carbon nanodots (CDs),peroxidase,,spherical,,,,,,,,,,,,,6 nm,6.0,,,,,,,,,,,,,,,,,10.0 mg/L,0.01,,,,,"[""N-octylpyridinum hexafluorophosphate (OPPF 6)""]",,,,MO + H2O2
10.1039.c2ra20355c,mistral,mistral-large-latest,./prompts/prompt5.txt,5564,18625,600,1664,Carbon nanodots (CDs),peroxidase,,spherical,,,,,,,,,,,,,6 nm,6.0,,,,,,,,,,,,,,,,,10.0 mg/L,0.01,,,,,"[""N-octylpyridinum hexafluorophosphate (OPPF 6)""]",,,,MR + H2O2
10.1007.s10157-005-0343-1,mistral,mistral-large-latest,./prompts/prompt5.txt,6887,21523,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1002.jctb.3924,mistral,mistral-large-latest,./prompts/prompt5.txt,15452,44545,1084,2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1093.jn.115.11.1459,mistral,mistral-large-latest,./prompts/prompt5.txt,22153,52053,522,1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.s0981-9428(02)01392-x,mistral,mistral-large-latest,./prompts/prompt5.txt,7944,23136,612,1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1002.ange.201800681,mistral,mistral-large-latest,./prompts/prompt5.txt,21530,57102,1413,3448,V2O5,peroxidase,orthorhombic,nanowires,745 nm,745.0,,,60 nm,60.0,,,,,,,,,,,44.4 μM,0.0444,192.3 μM min-1,,32.9 m2 g-1,32.9,,,,,0 μM,0.0,400 μM,0.4,20 ng μL-1,,2 mM,2.0,7.4,25 °C,"[""VOSO4.H2O"", ""KBrO3"", ""HNO3""]",,,,H2O2+TMB
10.1002.ange.201800681,mistral,mistral-large-latest,./prompts/prompt5.txt,21530,57102,1413,3448,V2O5,peroxidase,orthorhombic,nanosheets,620 nm,620.0,,,25 nm,25.0,,,,,,,,,,,57.3 μM,0.0573,233.1 μM min-1,,6.2 m2 g-1,6.2,,,,,0 μM,0.0,400 μM,0.4,20 ng μL-1,,2 mM,2.0,7.4,25 °C,"[""V2O5"", ""H2O2""]",,,,H2O2+TMB
10.1002.ange.201800681,mistral,mistral-large-latest,./prompts/prompt5.txt,21530,57102,1413,3448,V2O5,peroxidase,orthorhombic,nanoflowers,5400 nm,5400.0,,,,,,,,,,,,,,,92.5 μM,0.0925,340.1 μM min-1,,21.1 m2 g-1,21.1,,,,,0 μM,0.0,400 μM,0.4,20 ng μL-1,,2 mM,2.0,7.4,25 °C,"[""V2O5"", ""H2O2"", ""NH4H2PO4""]",,,,H2O2+TMB
10.1002.ange.201800681,mistral,mistral-large-latest,./prompts/prompt5.txt,21530,57102,1413,3448,V2O5,peroxidase,orthorhombic,nanospheres,,,,,,,,,,,,,335 nm,335.0,,,143.7 μM,0.1437,458.7 μM min-1,,9.7 m2 g-1,9.7,,,,,0 μM,0.0,400 μM,0.4,20 ng μL-1,,2 mM,2.0,7.4,25 °C,"[""NH4VO3"", ""HCl"", ""N2H4.H2O""]",,,,H2O2+TMB
10.1177.19.9.571,mistral,mistral-large-latest,./prompts/prompt5.txt,7676,22032,329,770,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 % H2O2,,7.6 pH,4 C,"[""normal saline"", ""heparin"", ""glutaraldehyde"", ""cacodylate buffer"", ""Tnis buffer"", ""DAB"", ""H2O2"", ""OsO4"", ""ethanol"", ""Epon""]",,,,TMB+H2O2
10.1016.j.jorganchem.2018.02.045,mistral,mistral-large-latest,./prompts/prompt5.txt,18611,42578,2326,5366,C10H13NO4Se,peroxidase,,,,,,,,,,,,,,,,,,,0.5 mM t-BuOOH,,,,,,,,,,,,,,10 μM,,3 mM GSH,,7.4,37 °C,"[""methyl salicylate"", ""propylamine"", ""SeCl4"", ""THF"", ""hydrazine hydrate""]",,,,GSH+t-BuOOH
10.1016.j.jorganchem.2018.02.045,mistral,mistral-large-latest,./prompts/prompt5.txt,18611,42578,2326,5366,C11H15NO4Se,peroxidase,,,,,,,,,,,,,,,,,,,0.5 mM t-BuOOH,,,,,,,,,,,,,,10 μM,,3 mM GSH,,7.4,37 °C,"[""methyl salicylate"", ""butylamine"", ""SeCl4"", ""THF"", ""hydrazine hydrate""]",,,,GSH+t-BuOOH
10.1016.j.jorganchem.2018.02.045,mistral,mistral-large-latest,./prompts/prompt5.txt,18611,42578,2326,5366,C12H15NO6Se,peroxidase,,,,,,,,,,,,,,,,,,,0.5 mM t-BuOOH,,,,,,,,,,,,,,10 μM,,3 mM GSH,,7.4,37 °C,"[""methyl salicylate"", ""aminobutyric acid"", ""SeCl4"", ""THF"", ""hydrazine hydrate""]",,,,GSH+t-BuOOH
10.1016.j.jorganchem.2018.02.045,mistral,mistral-large-latest,./prompts/prompt5.txt,18611,42578,2326,5366,C13H19NO4Se,peroxidase,,,,,,,,,,,,,,,,,,,0.5 mM t-BuOOH,,,,,,,,,,,,,,10 μM,,3 mM GSH,,7.4,37 °C,"[""methyl salicylate"", ""hexylamine"", ""SeCl4"", ""THF"", ""hydrazine hydrate""]",,,,GSH+t-BuOOH
10.1016.j.jorganchem.2018.02.045,mistral,mistral-large-latest,./prompts/prompt5.txt,18611,42578,2326,5366,C14H21NO4Se,peroxidase,,,,,,,,,,,,,,,,,,,0.5 mM t-BuOOH,,,,,,,,,,,,,,10 μM,,3 mM GSH,,7.4,37 °C,"[""methyl salicylate"", ""heptylamine"", ""SeCl4"", ""THF"", ""hydrazine hydrate""]",,,,GSH+t-BuOOH
10.1016.j.jorganchem.2018.02.045,mistral,mistral-large-latest,./prompts/prompt5.txt,18611,42578,2326,5366,C13H17NO4Se,peroxidase,,,,,,,,,,,,,,,,,,,0.5 mM t-BuOOH,,,,,,,,,,,,,,10 μM,,3 mM GSH,,7.4,37 °C,"[""methyl salicylate"", ""cyclohexylamine"", ""SeCl4"", ""THF"", ""hydrazine hydrate""]",,,,GSH+t-BuOOH
10.1016.j.jorganchem.2018.02.045,mistral,mistral-large-latest,./prompts/prompt5.txt,18611,42578,2326,5366,C13H11NO4Se,peroxidase,,,,,,,,,,,,,,,,,,,0.5 mM t-BuOOH,,,,,,,,,,,,,,10 μM,,3 mM GSH,,7.4,37 °C,"[""methyl salicylate"", ""aniline"", ""SeCl4"", ""THF"", ""hydrazine hydrate""]",,,,GSH+t-BuOOH
10.1016.0024-3205(84)90471-5,mistral,mistral-large-latest,./prompts/prompt5.txt,6165,19269,269,642,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66 mM KI,,5.0,,[],,,,H2O2+KI
10.1016.j.aquatox.2011.01.003,mistral,mistral-large-latest,./prompts/prompt5.txt,11952,34547,686,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1016.j.snb.2014.05.020,mistral,mistral-large-latest,./prompts/prompt5.txt,12198,35913,364,935,Fe3O4,peroxidase,cubic,nanospheres,,,,,,,,,,,,,5 nm,5.0,,,0.25 mM,0.25,,,,,,,,,100 nM,9.999999999999999e-05,200 μM,0.2,50 μg mL-1,,0.5 mg mL-1,,4.0,room temperature,"[""FeCl3\u20226H2O"", ""FeCl2\u20224H2O"", ""NaAc"", ""diethylene glycol (DEG)"", ""GO""]",,,,H2O2+TMB
10.1016.j.procbio.2019.03.005,mistral,mistral-large-latest,./prompts/prompt5.txt,8966,27328,349,830,CoO-OMC,peroxidase,cubic,rod-like,,,,,,,,,,,,,3-6 nm,4.5,3.0,6.0,3.29 mM,3.29,2.66×10−7 M s−1,,489 m2 g−1,489.0,,,,,0.2 mM,0.2,30 mM,30.0,30 μg mL−1,,0.7 mM,0.7,4.5,37 °C,"[""Co(NO3)2\u00b76H2O"", ""HNO3"", ""ethanol"", ""OMC""]",,,,H2O2+TMB
10.3177.jnsv.22.405,mistral,mistral-large-latest,./prompts/prompt5.txt,3989,12306,350,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
10.1134.s1021443706060124,mistral,mistral-large-latest,./prompts/prompt5.txt,11739,34061,279,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
