doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,polymer_used_in_synthesis,surfactant,reaction_type
10.1016.j.archoralbio.2008.03.003,mistral,mistral-small-latest,./prompts/prompt4.txt,14717,50881,470,1556,,peroxidase,,,,,,,,,,,,,,,,,,,0.033 mmol/ml,33.0,,,,,,,,,,,,,,,2.2 mM,2.2,6,37 °C,[],,,TMB+H2O2
10.1016.j.talanta.2019.04.025,mistral,mistral-small-latest,./prompts/prompt4.txt,7868,27592,576,1791,NiO,peroxidase,cubic,nanoparticles,,,,,,,,,,,,,,,,,~0.01 mM,0.01,~0.001 mM/s,0.001,415 m^2/g,415.0,,,,,0.2 mM,0.2,2 mM,2.0,20 µg/mL,0.02,5 mM,5.0,3.5,50 °C,"[""Ni(NO3)2\u00b76H2O"", ""ethyl alcohol"", ""OMC"", ""nitric acid""]",,,TMB+H2O2
10.1016.j.talanta.2019.04.025,mistral,mistral-small-latest,./prompts/prompt4.txt,7868,27592,576,1791,NiO,peroxidase,cubic,nanoparticles,,,,,,,,,,,,,,,,,~0.05 mM,0.05,~0.002 mM/s,0.002,415 m^2/g,415.0,,,,,0.2 mM,0.2,50 mM,50.0,20 µg/mL,0.02,0.6 mM,0.6,3.5,50 °C,"[""Ni(NO3)2\u00b76H2O"", ""ethyl alcohol"", ""OMC"", ""nitric acid""]",,,H2O2+TMB
10.1016.s0024-3205(98)00527-x,mistral,mistral-small-latest,./prompts/prompt4.txt,6495,25084,760,2707,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2 mM,4.2,7.4,37 °C,"[""3,3',5,5'-tetramethylbenzidine (TMB)"", ""S-nitrosoglutathione (GS-NO)"", ""sodium nitroprusside (SNP)"", ""hydrogen peroxide (H2O2)"", ""bovine thyroid-stimulating hormone (TSH)"", ""Ham\u2019s F10 medium"", ""heat-inactivated newborn calf serum (NCS)"", ""Dispase type II"", ""DMSO"", ""sodium acetate"", ""bovine serum albumin"", ""NaCl"", ""NaH2PO4"", ""KH2PO4"", ""KCl"", ""CaCl2"", ""MgCl2"", ""glucose"", ""H2SO4""]",,,TMB+H2O2
10.1016.s0024-3205(98)00527-x,mistral,mistral-small-latest,./prompts/prompt4.txt,6495,25084,760,2707,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15 mM,1.15,7.4,37 °C,"[""3,3',5,5'-tetramethylbenzidine (TMB)"", ""S-nitrosoglutathione (GS-NO)"", ""sodium nitroprusside (SNP)"", ""hydrogen peroxide (H2O2)"", ""bovine thyroid-stimulating hormone (TSH)"", ""Ham\u2019s F10 medium"", ""heat-inactivated newborn calf serum (NCS)"", ""Dispase type II"", ""DMSO"", ""sodium acetate"", ""bovine serum albumin"", ""NaCl"", ""NaH2PO4"", ""KH2PO4"", ""KCl"", ""CaCl2"", ""MgCl2"", ""glucose"", ""H2SO4""]",,,H2O2+TMB
10.1016.j.phytochem.2007.02.003,mistral,mistral-small-latest,./prompts/prompt4.txt,8286,28687,409,1434,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,23 ± 2 °C,"[""CTAB"", ""Tris\u2013HCl"", ""EDTA"", ""NaCl"", ""PVP"", ""b-mercaptoethanol"", ""CHCl3"", ""isoamyl alcohol"", ""EtOH"", ""DEPC"", ""DNAse"", ""NaI"", ""silica"", ""Tris\u2013HCl"", ""NaCl"", ""EDTA"", ""EtOH"", ""DPC"", ""H2O"", ""dNTP"", ""MgSO4"", ""agarose"", ""TAE"", ""ethidium bromide"", ""DYENAMIC ET Terminator cycle kit"", ""4-methoxy-1-naphtol"", ""H2O2""]",,,H2O2+4-methoxy-1-naphtol
10.1016.j.snb.2019.126876,mistral,mistral-small-latest,./prompts/prompt4.txt,8401,31485,280,897,Pd,oxidase,cubic,spherical,,,,,,,,,,,,,3.8 nm,3.8,,,0.15 mM,0.15,3.8×10^-8 M/s,3.7999999999999995e-05,,,,,,,,,,,0.2 mg/mL,0.2,,,4,25 °C,"[""NaBH4"", ""TMB"", ""EDTA"", ""DTT"", ""K2PdCl6"", ""As3+"", ""As5+"", ""Hg2+"", ""Pb2+""]",,,TMB
10.4025.actascitechnol.v32i1.4828,mistral,mistral-small-latest,./prompts/prompt4.txt,8299,27416,511,1819,,Peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 mL 1% (w v-1) o-dianisidine solution in methanol,,6.2,25 °C,"[""sodium phosphate buffer"", ""acetone"", ""o-dianisidine"", ""methanol"", ""H2O2""]",,,H2O2+TMB
10.4025.actascitechnol.v32i1.4828,mistral,mistral-small-latest,./prompts/prompt4.txt,8299,27416,511,1819,,Polyphenoloxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05 mL of catechol solution 10 mM,,7.5,30 °C,"[""sodium phosphate buffer"", ""acetone"", ""catechol"", ""perchloric acid""]",,,catechol
10.1111.j.1365-2222.1996.tb00616.x,mistral,mistral-small-latest,./prompts/prompt4.txt,11291,40479,511,1792,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,~0.3 mM,0.3,~100 µmol/min/g,,,,,,,,,,,,,,0.3 mM,0.3,7.4,37 °C,"[""glutathione reductase"", ""glutathione"", ""NADPH"", ""t-butylhydroperoxide""]",,,H2O2+TMB
10.1111.j.1365-2222.1996.tb00616.x,mistral,mistral-small-latest,./prompts/prompt4.txt,11291,40479,511,1792,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,~0.3 mM,0.3,~100 µmol/min/g,,,,,,,,,,,,,,0.3 mM,0.3,7.4,37 °C,"[""glutathione reductase"", ""glutathione"", ""NADPH"", ""t-butylhydroperoxide""]",,,TMB+H2O2
10.1021.ic0343861,mistral,mistral-small-latest,./prompts/prompt4.txt,18489,56208,677,2220,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,~111 mM,111.0,,,,,,,,,2.5 mM,2.5,100 mM,100.0,0.2 - 1 µM,,1 - 50 mM,,5.0,298 K,"[""Gdn\u201aHCl"", ""sodium phosphate"", ""o-methoxyphenol (guaiacol)"", ""H2O2"", ""mannitol"", ""sodium ascorbate"", ""KCN"", ""dithionite"", ""ethylmethyl sulfide"", ""O2"", ""sodium dithionite"", ""verdoheme-cytc550""]",,,H2O2+gc
10.1021.ic0343861,mistral,mistral-small-latest,./prompts/prompt4.txt,18489,56208,677,2220,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,~3.7 mM,3.7,,,,,,,,,1 mM,1.0,50 mM,50.0,0.2 - 1 µM,,2.5 - 100 mM,,5.0,298 K,"[""Gdn\u201aHCl"", ""sodium phosphate"", ""o-methoxyphenol (guaiacol)"", ""H2O2"", ""mannitol"", ""sodium ascorbate"", ""KCN"", ""dithionite"", ""ethylmethyl sulfide"", ""O2"", ""sodium dithionite"", ""verdoheme-cytc550""]",,,gc+H2O2
10.1023.b:ticu.0000049439.36866.4e,mistral,mistral-small-latest,./prompts/prompt4.txt,4924,18991,491,1775,,superoxide dismutase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4 °C,"[""ethanol"", ""water"", ""riboflavin"", ""nitroblue tetrazolium (NBT)"", ""phosphate buffer""]",,,
10.1023.b:ticu.0000049439.36866.4e,mistral,mistral-small-latest,./prompts/prompt4.txt,4924,18991,491,1775,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,"[""ethanol"", ""water"", ""phosphate buffer""]",,,
10.1039.c9tb01731c,mistral,mistral-small-latest,./prompts/prompt4.txt,15762,48085,553,1704,Mo-CQDs,peroxidase,,spherical,,,,,,,,,,,,,3 nm - 5.5 nm,4.25,3.0,5.5,0.05 mM,0.05,~1.5 * 10^-7 M/s,0.00015,,,,,,,0.005 mM,0.005,0.05 mM,0.05,3.3 mg/mL,3.3,1 mM,1.0,4,25 °C,"[""ethanol"", ""MoS2 powder""]",,,H2O2+TMB
10.1039.c9tb01731c,mistral,mistral-small-latest,./prompts/prompt4.txt,15762,48085,553,1704,Mo-CQDs,peroxidase,,spherical,,,,,,,,,,,,,3 nm - 5.5 nm,4.25,3.0,5.5,0.05 mM,0.05,~1.5 * 10^-7 M/s,0.00015,,,,,,,0.01 mM,0.01,0.6 mM,0.6,3.3 mg/mL,3.3,0.1 mM,0.1,4,25 °C,"[""ethanol"", ""MoS2 powder""]",,,TMB+H2O2
10.1021.acsabm.9b01012,mistral,mistral-small-latest,./prompts/prompt4.txt,16328,53080,860,2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1021.acs.analchem.8b03889,mistral,mistral-small-latest,./prompts/prompt4.txt,17280,53154,648,1667,Pt,peroxidase,,spherical,,,,,,,,,,,,,50 nm,50.0,,,,,,,,,,,,,,,,,,,,,,,"[""Platinum""]",,,H2O2
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473,87320,1267,4028,CeO2,peroxidase,,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,32.11 mM,32.11,2.63 × 10−8 m s−1,,,,,,,,6 × 10−3 m,,150 × 10−3 m,,100 µg mL−1,0.1,6 × 10−3 m,,5.5,25 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2+TMB
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473,87320,1267,4028,CeO2,peroxidase,,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,27.54 × 10−3 m,,3.85 × 10−8 m s−1,,,,,,,,6 × 10−3 m,,150 × 10−3 m,,100 µg mL−1,0.1,6 × 10−3 m,,5.5,50 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2+TMB
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473,87320,1267,4028,CeO2,catalase,,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,84.8 mM,84.8,0.48 mg L−1 min−1,,,,,,,,45 mM,45.0,600 mM,600.0,100 µg mL−1,0.1,,,5.5,25 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473,87320,1267,4028,CeO2,catalase,,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,70.5 mM,70.5,0.71 mg L−1 min−1,,,,,,,,45 mM,45.0,600 mM,600.0,100 µg mL−1,0.1,,,5.5,50 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2
10.1086.341515,mistral,mistral-small-latest,./prompts/prompt4.txt,9486,33652,445,1538,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,H2O2+TMB
10.1086.341515,mistral,mistral-small-latest,./prompts/prompt4.txt,9486,33652,445,1538,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,TMB+H2O2
10.1186.s40643-020-00345-3,mistral,mistral-small-latest,./prompts/prompt4.txt,9746,37475,245,882,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30 °C,"[""K2HPO4"", ""KH2PO4"", ""MgSO4"", ""NH4NO3"", ""yeast extract"", ""kraft lignin""]",,,
10.1079.bjn19880076,mistral,mistral-small-latest,./prompts/prompt4.txt,13239,46469,312,1194,,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""DL-selenomethionine"", ""DL-methionine"", ""Torula yeast"", ""Sucrose"", ""Lard"", ""Mineral mix"", ""Vitamin premix"", ""Choline chloride"", ""DL-a-tocopheryl acetate"", ""Sodium chloride"", ""Potassium chloride"", ""Phosphate-buffered saline"", ""Hydrogen peroxide""]",,,
10.1016.s0021-9673(01)95374-9,mistral,mistral-small-latest,./prompts/prompt4.txt,6265,20713,640,2317,HRP,peroxidase,,,,,,,,,,,,,,,,,,,~11.12 mM,11.12,,,,,,,,,2.78 mM,2.78,890 mM,890.0,,,40 mM,40.0,5.0,25 °C,"[""guaiacol"", ""hydrogen peroxide"", ""acetate buffer"", ""calcium chloride"", ""manganese chloride"", ""sodium chloride"", ""ammonium sulphate"", ""methyl a-D-glucopyranoside"", ""sodium sulphate"", ""isopropanol"", ""SDS"", ""Triton X-100"", ""ethylene glycol""]",,,H2O2+guaiacol
10.1016.s0021-9673(01)95374-9,mistral,mistral-small-latest,./prompts/prompt4.txt,6265,20713,640,2317,HRP,peroxidase,,,,,,,,,,,,,,,,,,,~40 mM,40.0,,,,,,,,,2.5 mM,2.5,160 mM,160.0,,,11.12 mM,11.12,5.0,25 °C,"[""guaiacol"", ""hydrogen peroxide"", ""acetate buffer"", ""calcium chloride"", ""manganese chloride"", ""sodium chloride"", ""ammonium sulphate"", ""methyl a-D-glucopyranoside"", ""sodium sulphate"", ""isopropanol"", ""SDS"", ""Triton X-100"", ""ethylene glycol""]",,,guaiacol+H2O2
10.1016.0167-4838(94)00221-2,mistral,mistral-small-latest,./prompts/prompt4.txt,8160,26645,321,1106,,peroxidase,,,,,,,,,,,,,,,,,,,~0.33 mM,0.33,,,,,,,140 kDa,140000.0,,,,,,,12 mM,12.0,6,27 °C,"[""3,3'-diaminobenzidine 99%"", ""hydrogen peroxide 30%"", ""guaicol 98%"", ""Sephadex G-150 medium"", ""sodium phosphate buffer"", ""guanidium isothiocyanate"", ""XhoI"", ""SacI"", ""pBS vector"", ""XGal"", ""CsCl/ethidium bromide""]",,,H2O2+guaicol
10.1071.PP9950627,mistral,mistral-small-latest,./prompts/prompt4.txt,6027,23095,528,1842,,polyphenol oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,25 °C,"[""sodium phosphate buffer"", ""PVP-40"", ""Triton X-100"", ""4-methylcatechol""]",PVP-40,Triton X-100,4-methylcatechol
10.1071.PP9950627,mistral,mistral-small-latest,./prompts/prompt4.txt,6027,23095,528,1842,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,"[""sodium phosphate buffer"", ""PVP-40"", ""tropolone"", ""hydrogen peroxide""]",PVP-40,,tropolone + hydrogen peroxide
10.1093.carcin.16.8.1815,mistral,mistral-small-latest,./prompts/prompt4.txt,15013,55058,338,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ebselen"", ""ebselen-glutathione selenosulphide"", ""a-(phenylselenenyl) acetophenone"", ""bis-(4-aminophenyl) telluride"", ""bis-(4-aminophenyl) selenide"", ""bis-(4-ethyl-4-aminophenyl) selenide"", ""bis-(isobutyl-4 aminophenyl) selenide"", ""bis-(4-cyanophenyl) selenide"", ""bis-(4-nitrophenyl) selenide""]",,,
10.1111.j.1399-3054.1994.tb00423.x,mistral,mistral-small-latest,./prompts/prompt4.txt,10116,31882,254,861,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 mM,5.0,6.5,25 °C,"[""guaiacol"", ""H2O2"", ""Na-phosphate""]",,,H2O2+guaiacol
10.1016.S0021-9258(18)34056-0,mistral,mistral-small-latest,./prompts/prompt4.txt,6284,23212,892,2979,Cytochrome c,Peroxidase,,,,,,,,,,,,,,,,,,,6.4 µM,0.0064,1.9 x 10^6 M^-1 s^-1,1900000000.0,,,,,,,,,,,,,333 µM,0.333,7.4,25 °C,"[""Cytochrome c"", ""Cytochrome oxidase"", ""Sodium phosphate buffer"", ""Emasol 1130"", ""Sodium dithionite"", ""EDTA"", ""Hydrogen peroxide""]",,Emasol 1130,H2O2+TMB
10.1016.S0021-9258(18)34056-0,mistral,mistral-small-latest,./prompts/prompt4.txt,6284,23212,892,2979,Cytochrome c,Peroxidase,,,,,,,,,,,,,,,,,,,2 µM,0.002,1.4 x 10^6 M^-1 s^-1,1400000000.0,,,,,,,,,,,,,333 µM,0.333,7.4,25 °C,"[""Cytochrome c"", ""Cytochrome oxidase"", ""Sodium phosphate buffer"", ""Emasol 1130"", ""Sodium dithionite"", ""EDTA"", ""Hydrogen peroxide""]",,Emasol 1130,TMB+H2O2
10.1016.S0021-9258(18)34056-0,mistral,mistral-small-latest,./prompts/prompt4.txt,6284,23212,892,2979,Cytochrome c,Peroxidase,,,,,,,,,,,,,,,,,,,0.18 mM,0.18,67.3 nM s^-1,,,,,,,,,,,,,,24.6 µM,0.0246,7.4,25 °C,"[""Cytochrome c"", ""Cytochrome oxidase"", ""Sodium phosphate buffer"", ""Emasol 1130"", ""Sodium dithionite"", ""EDTA"", ""Hydrogen peroxide""]",,Emasol 1130,TMB+H2O2
10.1007.s11483-011-9218-z,mistral,mistral-small-latest,./prompts/prompt4.txt,9068,30970,517,1824,HRP,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 ml of 30% hydrogen peroxide in 99.8 ml of 0.1 M potassium phosphate buffer,,6.5,25 °C,"[""Potassium phosphate"", ""Glucose"", ""Horseradish peroxidase""]",,,H2O2+TMB
10.1007.s11483-011-9218-z,mistral,mistral-small-latest,./prompts/prompt4.txt,9068,30970,517,1824,HRP,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 ml of 30% hydrogen peroxide in 99.8 ml of 0.1 M potassium phosphate buffer,,6.5,25 °C,"[""Potassium phosphate"", ""Glucose"", ""Horseradish peroxidase""]",,,TMB+H2O2
10.1016.j.saa.2018.11.026,mistral,mistral-small-latest,./prompts/prompt4.txt,5061,17886,279,924,Cys-AuNCs,peroxidase,,spherical,,,,,,,,,,,,,2-4 nm,3.0,2.0,4.0,,,,,,,,,,,0.5 μM,0.0005,1000 μM,1.0,,,10 mM,10.0,,25 °C,"[""Chloroauric acid (HAuCl4)"", ""Cysteine"", ""Sodium hydroxide (NaOH)"", ""Hydrochloric acid (HCl)""]",,,TMB+H2O2
10.1021.bi952347y,mistral,mistral-small-latest,./prompts/prompt4.txt,15313,47338,1303,4413,H10Q,peroxidase,,,,,,,,,,,,,,,,,,,0.69 mM,0.69,,,,,,,,,0.001 mM,0.001,1 mM,1.0,50-100 nM,,2 mM,2.0,7.0,5 °C,"[""NAD+"", ""NADP+"", ""NADH"", ""NADPH"", ""Hydrogen peroxide (30%)"", ""EDTA"", ""Potassium phosphate"", ""Potassium acetate"", ""NAD+"", ""NADH"", ""H2O2"", ""Protocatechuate dioxygenase"", ""Protocatechuic acid""]",,,H2O2+TMB
10.1021.bi952347y,mistral,mistral-small-latest,./prompts/prompt4.txt,15313,47338,1303,4413,H10Q,peroxidase,,,,,,,,,,,,,,,,,,,1 mM,1.0,,,,,,,,,0.001 mM,0.001,1 mM,1.0,50-100 nM,,2 mM,2.0,7.0,5 °C,"[""NAD+"", ""NADP+"", ""NADH"", ""NADPH"", ""Hydrogen peroxide (30%)"", ""EDTA"", ""Potassium phosphate"", ""Potassium acetate"", ""NAD+"", ""NADH"", ""H2O2"", ""Protocatechuate dioxygenase"", ""Protocatechuic acid""]",,,TMB+H2O2
10.1021.bi952347y,mistral,mistral-small-latest,./prompts/prompt4.txt,15313,47338,1303,4413,H10A,peroxidase,,,,,,,,,,,,,,,,,,,1 mM,1.0,,,,,,,,,0.001 mM,0.001,1 mM,1.0,50-100 nM,,2 mM,2.0,7.0,5 °C,"[""NAD+"", ""NADP+"", ""NADH"", ""NADPH"", ""Hydrogen peroxide (30%)"", ""EDTA"", ""Potassium phosphate"", ""Potassium acetate"", ""NAD+"", ""NADH"", ""H2O2"", ""Protocatechuate dioxygenase"", ""Protocatechuic acid""]",,,H2O2+TMB
10.1021.bi952347y,mistral,mistral-small-latest,./prompts/prompt4.txt,15313,47338,1303,4413,H10A,peroxidase,,,,,,,,,,,,,,,,,,,1 mM,1.0,,,,,,,,,0.001 mM,0.001,1 mM,1.0,50-100 nM,,2 mM,2.0,7.0,5 °C,"[""NAD+"", ""NADP+"", ""NADH"", ""NADPH"", ""Hydrogen peroxide (30%)"", ""EDTA"", ""Potassium phosphate"", ""Potassium acetate"", ""NAD+"", ""NADH"", ""H2O2"", ""Protocatechuate dioxygenase"", ""Protocatechuic acid""]",,,TMB+H2O2
10.1016.s0304-4238(00)00253-3,mistral,mistral-small-latest,./prompts/prompt4.txt,111547,187247,605,1716,Fe3O4,peroxidase,cubic,cubic,10 nm,10.0,,,10 nm,10.0,,,10 nm,10.0,,,,,,,0.01 mM,0.01,0.01 mM/s,0.01,100 m^2/g,100.0,20 mV,20.0,231.53 g/mol,231.53,0.001 mM,0.001,0.1 mM,0.1,0.01 mg/mL,0.01,0.1 mM,0.1,7,25 °C,"[""FeCl3"", ""NaOH""]",poly(N-Vinylpyrrolidone),cetrimonium bromide,H2O2+TMB
10.1016.s0304-4238(00)00253-3,mistral,mistral-small-latest,./prompts/prompt4.txt,111547,187247,605,1716,Fe3O4,peroxidase,cubic,cubic,10 nm,10.0,,,10 nm,10.0,,,10 nm,10.0,,,,,,,0.01 mM,0.01,0.01 mM/s,0.01,100 m^2/g,100.0,20 mV,20.0,231.53 g/mol,231.53,0.001 mM,0.001,0.1 mM,0.1,0.01 mg/mL,0.01,0.1 mM,0.1,7,25 °C,"[""FeCl3"", ""NaOH""]",poly(N-Vinylpyrrolidone),cetrimonium bromide,TMB+H2O2
