doi,agent,model,instruction,prompt_tokens,propmpt_len,completion_tokens,completion_len,formula,activity,syngony,shape,length,length_mean,length_min,length_max,width,width_mean,width_min,width_max,depth,depth_mean,depth_min,depth_max,size,size_mean,size_min,size_max,km,km_unif,vmax,vmax_unif,surface_area,surface_area_unif,zeta_potential,zeta_potential_unif,molar_mass,molar_mass_unif,c_min,c_min_unif,c_max,c_max_unif,concentration_of_nanoparticles,concentration_of_nanoparticles_unif,concentration_of_co_substrate,concentration_of_co_substrate_unif,p_h,temperature,chemicals_used_in_synthesis,polymer_used_in_synthesis,surfactant,reaction_type
10.1007.bf01186826,mistral,mistral-small-latest,./prompts/prompt4.txt,12392.0,47293,270.0,945,,Acid phosphatase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,37 °C,"[""horseradish peroxidase (HRP)"", ""beta-glycerophosphate"", ""cytidine 5'-monophosphate (CMP)"", ""H2O2"", ""3,3'-diaminobenzidine (DAB)""]",,,H2O2 + TMB
10.1016.j.ultsonch.2009.06.014,mistral,mistral-small-latest,./prompts/prompt4.txt,11627.0,36948,273.0,848,Fe3O4,peroxidase,,,,,,,,,,,,,,,,,,,~0.02 mM,0.02,~0.15 min^-1,,,,,,,,,,,,0.5 g/L,0.5,40 mM,40.0,5.0,55 °C,"[""FeCl3\u00b76H2O"", ""FeSO4\u00b77H2O"", ""NH3\u00b7H2O""]",,,H2O2+TMB
10.1016.j.archoralbio.2008.03.003,mistral,mistral-small-latest,./prompts/prompt4.txt,14717.0,50881,438.0,1494,,peroxidase,,,,,,,,,,,,,,,,,,,0.042 mmol/ml,42.0,,,,,,,,,,,,,,,2.2 mM,2.2,6,37 °C,[],,,LDCF+H2O2
10.1016.j.archoralbio.2008.03.003,mistral,mistral-small-latest,./prompts/prompt4.txt,14717.0,50881,438.0,1494,,peroxidase,,,,,,,,,,,,,,,,,,,0.033 mmol/ml,33.0,,,,,,,,,,,,,,,2.2 mM,2.2,6,37 °C,[],,,LDCF+H2O2
10.1016.j.talanta.2019.04.025,mistral,mistral-small-latest,./prompts/prompt4.txt,7868.0,27592,588.0,1799,NiO,peroxidase,cubic,nanoparticles,,,,,,,,,,,,,~10 nm,10.0,,,~0.01 mM,0.01,~0.001 mM/s,0.001,415 m^2/g,415.0,,,,,0.2 mM,0.2,50 mM,50.0,20 µg/mL,0.02,0.6 mM,0.6,3.5,50 °C,"[""Ni(NO3)2\u00b76H2O"", ""OMC"", ""Ethyl alcohol"", ""Nitric acid""]",,,H2O2+TMB
10.1016.j.talanta.2019.04.025,mistral,mistral-small-latest,./prompts/prompt4.txt,7868.0,27592,588.0,1799,NiO,peroxidase,cubic,nanoparticles,,,,,,,,,,,,,~10 nm,10.0,,,~0.01 mM,0.01,~0.001 mM/s,0.001,415 m^2/g,415.0,,,,,0.2 mM,0.2,2 mM,2.0,20 µg/mL,0.02,5 mM,5.0,3.5,50 °C,"[""Ni(NO3)2\u00b76H2O"", ""OMC"", ""Ethyl alcohol"", ""Nitric acid""]",,,TMB+H2O2
10.1016.s0024-3205(98)00527-x,mistral,mistral-small-latest,./prompts/prompt4.txt,6495.0,25084,882.0,2783,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2 mM,4.2,7.4,37 °C,"[""3,3\u2019,5,5\u2019-tetramethylbenzidine (TMB)"", ""S-nitrosoglutathione (GS-NO)"", ""sodium nitroprusside (SNP)"", ""hydrogen peroxide (H2O2)"", ""DMSO"", ""sodium acetate"", ""bovine serum albumin"", ""bovine thyroid-stimulating hormone (TSH)"", ""Ham\u2019s F10 medium"", ""heat-inactivated newborn calf serum (NCS)"", ""Dispase type II"", ""reaction buffer (140 mM NaCl, 8 mM NaHPO4, 1.5 mM KH2PO4, 5 mM KCl, 0.5 mM CaCl2, 1.2 mM MgCl2, 0.1% (w/v) glucose, 0.2% (w/v) bovine serum albumin, pH 7.4)""]",,,TMB+H2O2
10.1016.s0024-3205(98)00527-x,mistral,mistral-small-latest,./prompts/prompt4.txt,6495.0,25084,882.0,2783,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15 mM,1.15,7.4,37 °C,"[""3,3\u2019,5,5\u2019-tetramethylbenzidine (TMB)"", ""S-nitrosoglutathione (GS-NO)"", ""sodium nitroprusside (SNP)"", ""hydrogen peroxide (H2O2)"", ""DMSO"", ""sodium acetate"", ""bovine serum albumin"", ""bovine thyroid-stimulating hormone (TSH)"", ""Ham\u2019s F10 medium"", ""heat-inactivated newborn calf serum (NCS)"", ""Dispase type II"", ""reaction buffer (140 mM NaCl, 8 mM NaHPO4, 1.5 mM KH2PO4, 5 mM KCl, 0.5 mM CaCl2, 1.2 mM MgCl2, 0.1% (w/v) glucose, 0.2% (w/v) bovine serum albumin, pH 7.4)""]",,,H2O2+TMB
10.1016.j.phytochem.2007.02.003,mistral,mistral-small-latest,./prompts/prompt4.txt,8286.0,28687,361.0,1261,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,23 ± 2 °C,"[""CTAB"", ""Tris\u2013HCl"", ""EDTA"", ""NaCl"", ""PVP"", ""b-mercaptoethanol"", ""CHCl3"", ""isoamyl alcohol"", ""EtOH"", ""DEPC"", ""DNAse"", ""NaI"", ""silica"", ""Tris\u2013HCl"", ""NaCl"", ""EDTA"", ""EtOH"", ""DYENAMIC ET Terminator cycle kit"", ""4-methoxy-1-naphtol"", ""H2O2""]",,,H2O2
10.1016.j.snb.2019.126876,mistral,mistral-small-latest,./prompts/prompt4.txt,8401.0,31485,291.0,931,Pd,oxidase,cubic,spherical,,,,,,,,,,,,,3.8 nm,3.8,,,0.15 mM,0.15,3.8×10^-8 M/s,3.7999999999999995e-05,,,,,,,,,,,0.2 mg/mL,0.2,,,4,25 °C,"[""NaBH4"", ""TMB"", ""EDTA"", ""DTT"", ""K2PdCl6"", ""As3+"", ""As5+"", ""Hg2+"", ""Pb2+"", ""NaAc-HAc buffer""]",,,TMB+O2
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,70 °C,[],,,H2O2+TMB
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,80 °C,[],,,H2O2+TMB
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,90 °C,[],,,H2O2+TMB
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,100 °C,[],,,H2O2+TMB
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,lipoxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,70 °C,[],,,linoleic acid+O2
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,lipoxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,80 °C,[],,,linoleic acid+O2
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,lipoxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,90 °C,[],,,linoleic acid+O2
10.1556.aalim.35.2006.3.3,mistral,mistral-small-latest,./prompts/prompt4.txt,5602.0,19575,1664.0,5864,,lipoxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,100 °C,[],,,linoleic acid+O2
10.4025.actascitechnol.v32i1.4828,mistral,mistral-small-latest,./prompts/prompt4.txt,8299.0,27416,483.0,1695,,peroxidase,,,,,,,,,,,,,,,,,,,~0.03 mM,0.03,,,,,,,,,,,,,,,0.1 mL of 1% (w v-1) o-dianisidine solution in methanol,,6.2,25 °C,"[""sodium phosphate buffer"", ""H2O2"", ""o-dianisidine""]",,,H2O2+TMB
10.4025.actascitechnol.v32i1.4828,mistral,mistral-small-latest,./prompts/prompt4.txt,8299.0,27416,483.0,1695,,polyphenoloxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,30 °C,"[""sodium phosphate buffer"", ""catechol""]",,,catechol
10.1111.j.1365-2222.1996.tb00616.x,mistral,mistral-small-latest,./prompts/prompt4.txt,11291.0,40479,209.0,752,,glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,37 °C,[],,,
10.1021.ic0343861,mistral,mistral-small-latest,./prompts/prompt4.txt,18489.0,56208,1095.0,3473,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,~10.8 mM,10.8,,,,,,,,,2.5 mM,2.5,100 mM,100.0,0.2 - 1 µM,,10 mM,10.0,5.0,298 K,"[""Gdn\u201aHCl"", ""sodium phosphate"", ""guaiacol (gc)"", ""H2O2""]",,,H2O2+gc
10.1021.ic0343861,mistral,mistral-small-latest,./prompts/prompt4.txt,18489.0,56208,1095.0,3473,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,~232 mM,232.0,,,,,,,,,1 mM,1.0,50 mM,50.0,0.2 - 1 µM,,10 mM,10.0,5.0,298 K,"[""Gdn\u201aHCl"", ""sodium phosphate"", ""guaiacol (gc)"", ""H2O2""]",,,gc+H2O2
10.1021.ic0343861,mistral,mistral-small-latest,./prompts/prompt4.txt,18489.0,56208,1095.0,3473,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,~4.7 mM,4.7,,,,,,,,,1 mM,1.0,50 mM,50.0,0.2 - 1 µM,,10 mM,10.0,5.0,298 K,"[""Gdn\u201aHCl"", ""sodium phosphate"", ""guaiacol (gc)"", ""H2O2""]",,,gc+H2O2
10.1021.ic0343861,mistral,mistral-small-latest,./prompts/prompt4.txt,18489.0,56208,1095.0,3473,u-cytc550,peroxidase,,,,,,,,,,,,,,,,,,,~236 mM,236.0,,,,,,,,,2.5 mM,2.5,100 mM,100.0,0.2 - 1 µM,,10 mM,10.0,5.0,298 K,"[""Gdn\u201aHCl"", ""sodium phosphate"", ""guaiacol (gc)"", ""H2O2""]",,,H2O2+gc
10.1023.b:ticu.0000049439.36866.4e,mistral,mistral-small-latest,./prompts/prompt4.txt,4924.0,18991,456.0,1600,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4 °C,"[""ethanol""]",,,
10.1023.b:ticu.0000049439.36866.4e,mistral,mistral-small-latest,./prompts/prompt4.txt,4924.0,18991,456.0,1600,,superoxide dismutase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4 °C,"[""ethanol""]",,,
10.1021.acsabm.9b01012,mistral,mistral-small-latest,./prompts/prompt4.txt,16328.0,53080,845.0,2810,BSA-PtAu@CNS,peroxidase,,spherical,,,,,,,,,,,,,100-200 nm,150.0,100.0,200.0,0.005 mM,0.005,26.17 mM/s,26.17,921.336 cm^3/g,,,,,,0.01 mM,0.01,100 mM,100.0,20 µg/mL,0.02,5 mM,5.0,4.0,37 °C,"[""Zinc nitrate hexahydrate"", ""2-Methylimidazole"", ""Chloroplatinic(IV) acid hexahydrate"", ""Ethanol"", ""Potassium hydroxide"", ""Hydrogen peroxide 30% aqueous solution"", ""Sodium acetate"", ""Glacial acetic acid"", ""Sodium borohydride"", ""Tetrachloroauric(III) acid tetrahydrate"", ""3,3\u2032,5,5\u2032-Tetramethylbenzidine"", ""Albumin from Bovine Serum"", ""Disodium hydrogen phosphate"", ""Sodium dihydrogen phosphate"", ""Hydrochloric acid""]",BSA,,TMB+H2O2
10.1021.acsabm.9b01012,mistral,mistral-small-latest,./prompts/prompt4.txt,16328.0,53080,845.0,2810,BSA-PtAu@CNS,peroxidase,,spherical,,,,,,,,,,,,,100-200 nm,150.0,100.0,200.0,0.230 mM,0.23,8.160 mM/s,8.16,921.336 cm^3/g,,,,,,0.01 mM,0.01,2.0 mM,2.0,20 µg/mL,0.02,5 mM,5.0,4.0,37 °C,"[""Zinc nitrate hexahydrate"", ""2-Methylimidazole"", ""Chloroplatinic(IV) acid hexahydrate"", ""Ethanol"", ""Potassium hydroxide"", ""Hydrogen peroxide 30% aqueous solution"", ""Sodium acetate"", ""Glacial acetic acid"", ""Sodium borohydride"", ""Tetrachloroauric(III) acid tetrahydrate"", ""3,3\u2032,5,5\u2032-Tetramethylbenzidine"", ""Albumin from Bovine Serum"", ""Disodium hydrogen phosphate"", ""Sodium dihydrogen phosphate"", ""Hydrochloric acid""]",BSA,,H2O2+TMB
10.1021.acs.analchem.8b03889,mistral,mistral-small-latest,./prompts/prompt2.txt,17271.0,53115,228.0,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473.0,87320,1198.0,3754,CeO2,peroxidase,cubic,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,32.11 mM,32.11,2.63 × 10−8 m s−1,,,,,,,,6 × 10−3 m,,150 × 10−3 m,,100 µg mL−1,0.1,6 × 10−3 m,,5.5,25 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2+TMB
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473.0,87320,1198.0,3754,CeO2,peroxidase,cubic,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,27.54 mM,27.54,3.85 × 10−8 m s−1,,,,,,,,6 × 10−3 m,,150 × 10−3 m,,100 µg mL−1,0.1,6 × 10−3 m,,5.5,50 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2+TMB
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473.0,87320,1198.0,3754,CeO2,catalase,cubic,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,84.8 mM,84.8,0.48 mg L−1 min−1,,,,,,,,45 mM,45.0,600 mM,600.0,100 µg mL−1,0.1,,,5.5,25 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2
10.1002.adma.202002439,mistral,mistral-small-latest,./prompts/prompt4.txt,27473.0,87320,1198.0,3754,CeO2,catalase,cubic,spherical,,,,,,,,,,,,,3-4 nm,3.5,3.0,4.0,70.5 mM,70.5,0.71 mg L−1 min−1,,,,,,,,45 mM,45.0,600 mM,600.0,100 µg mL−1,0.1,,,5.5,50 °C,"[""cerium (III) acetate hydrate"", ""oleyl amine"", ""xylene"", ""citric acid"", ""2-bromo-2-methylpropionic acid"", ""chloroform"", ""DMF""]",,,H2O2
10.1086.341515,mistral,mistral-small-latest,./prompts/prompt4.txt,9486.0,33652,437.0,1476,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 mM,0.01,1 mM,1.0,,,1 mM,1.0,7,25 °C,[],,,H2O2+TMB
10.1086.341515,mistral,mistral-small-latest,./prompts/prompt4.txt,9486.0,33652,437.0,1476,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 mM,0.01,1 mM,1.0,,,1 mM,1.0,7,25 °C,[],,,TMB+H2O2
10.1186.s40643-020-00345-3,mistral,mistral-small-latest,./prompts/prompt4.txt,9746.0,37475,1596.0,5597,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30 °C,"[""K2HPO4"", ""KH2PO4"", ""MgSO4"", ""NH4NO3"", ""yeast extract"", ""kraft lignin""]",,,
10.1186.s40643-020-00345-3,mistral,mistral-small-latest,./prompts/prompt4.txt,9746.0,37475,1596.0,5597,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30 °C,"[""K2HPO4"", ""KH2PO4"", ""MgSO4"", ""NH4NO3"", ""yeast extract"", ""kraft lignin"", ""veratryl alcohol""]",,,
10.1186.s40643-020-00345-3,mistral,mistral-small-latest,./prompts/prompt4.txt,9746.0,37475,1596.0,5597,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30 °C,"[""K2HPO4"", ""KH2PO4"", ""MgSO4"", ""NH4NO3"", ""yeast extract"", ""kraft lignin"", ""(NH4)2SO4""]",,,
10.1186.s40643-020-00345-3,mistral,mistral-small-latest,./prompts/prompt4.txt,9746.0,37475,1596.0,5597,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30 °C,"[""K2HPO4"", ""KH2PO4"", ""MgSO4"", ""NH4NO3"", ""yeast extract"", ""kraft lignin"", ""sawdust""]",,,
10.1186.s40643-020-00345-3,mistral,mistral-small-latest,./prompts/prompt4.txt,9746.0,37475,1596.0,5597,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30 °C,"[""K2HPO4"", ""KH2PO4"", ""MgSO4"", ""NH4NO3"", ""yeast extract"", ""kraft lignin"", ""maize stover""]",,,
10.1186.s40643-020-00345-3,mistral,mistral-small-latest,./prompts/prompt4.txt,9746.0,37475,1596.0,5597,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30 °C,"[""K2HPO4"", ""KH2PO4"", ""MgSO4"", ""NH4NO3"", ""yeast extract"", ""kraft lignin"", ""wheat straw""]",,,
10.1079.bjn19880076,mistral,mistral-small-latest,./prompts/prompt4.txt,13239.0,46469,238.0,856,,Glutathione peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""DL-selenomethionine"", ""DL-methionine""]",,,
10.1016.s0021-9673(01)95374-9,mistral,mistral-small-latest,./prompts/prompt4.txt,6265.0,20713,492.0,1631,HRP,peroxidase,,,,,,,,,,,,,,,,,,,~1.112 mM,1.112,,,,,,,,,2.78 mM,2.78,890 mM,890.0,,,40 mM,40.0,5.0,25 °C,"[""guaiacol"", ""hydrogen peroxide""]",,,H2O2+TMB
10.1016.s0021-9673(01)95374-9,mistral,mistral-small-latest,./prompts/prompt4.txt,6265.0,20713,492.0,1631,HRP,peroxidase,,,,,,,,,,,,,,,,,,,~40 mM,40.0,,,,,,,,,2.5 mM,2.5,160 mM,160.0,,,11.12 mM,11.12,5.0,25 °C,"[""guaiacol"", ""hydrogen peroxide""]",,,TMB+H2O2
10.1016.0167-4838(94)00221-2,mistral,mistral-small-latest,./prompts/prompt4.txt,8160.0,26645,339.0,1163,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,140 kDa,140000.0,,,,,,,0.33 mM,0.33,6,27 °C,"[""3,3'-diaminobenzidine 99%"", ""hydrogen peroxide 30%"", ""guaicol 98%"", ""Sephadex G-150 medium"", ""sodium phosphate buffer"", ""guanidium isothiocyanate"", ""XhoI"", ""SacI"", ""pBS vector"", ""XGal"", ""CsCl/ethidium bromide"", ""Sequenase""]",,,guaicol + H2O2
10.1071.PP9950627,mistral,mistral-small-latest,./prompts/prompt4.txt,6027.0,23095,530.0,1842,,polyphenol oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,25 °C,"[""4-methylcatechol"", ""sodium phosphate buffer"", ""PVP-40"", ""Triton X-100""]",PVP-40,Triton X-100,4-methylcatechol
10.1071.PP9950627,mistral,mistral-small-latest,./prompts/prompt4.txt,6027.0,23095,530.0,1842,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1 °C,"[""tropolone"", ""hydrogen peroxide"", ""sodium phosphate buffer"", ""PVP-40""]",PVP-40,,tropolone + hydrogen peroxide
10.1093.carcin.16.8.1815,mistral,mistral-small-latest,./prompts/prompt4.txt,15013.0,55058,338.0,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""ebselen"", ""ebselen-glutathione selenosulphide"", ""a-(phenylselenenyl) acetophenone"", ""bis-(4-aminophenyl) telluride"", ""bis-(4-aminophenyl) selenide"", ""bis-(4-ethyl-4-aminophenyl) selenide"", ""bis-(isobutyl-4 aminophenyl) selenide"", ""bis-(4-cyanophenyl) selenide"", ""bis-(4-nitrophenyl) selenide""]",,,
10.1111.j.1399-3054.1994.tb00423.x,mistral,mistral-small-latest,./prompts/prompt4.txt,10116.0,31882,251.0,857,,peroxidase,,,,,,,,,,,,,,,,,,,~13 mM,13.0,~0.1 absorbance unit per 1 min,,,,,,,,,,,,,,5 mM,5.0,6.5,25 °C,"[""guaiacol"", ""H2O2"", ""Na-phosphate""]",,,H2O2+guaiacol
10.1016.S0021-9258(18)34056-0,mistral,mistral-small-latest,./prompts/prompt4.txt,6284.0,23212,1188.0,4020,,peroxidase,,,,,,,,,,,,,,,,,,,0.18 mM,0.18,67.3 nM/s,6.73e-05,,,,,,,,,,,,,,,7.4,25 °C,"[""cytochrome oxidase"", ""cytochrome c"", ""sodium phosphate buffer"", ""Emasol 1130"", ""sodium dithionite"", ""EDTA"", ""hydrogen peroxide""]",,Emasol 1130,H2O2+TMB
10.1016.S0021-9258(18)34056-0,mistral,mistral-small-latest,./prompts/prompt4.txt,6284.0,23212,1188.0,4020,,peroxidase,,,,,,,,,,,,,,,,,,,2 µM,0.002,1.4 x 10^6 M^-1 s^-1,1400000000.0,,,,,,,,,,,,,,,7.4,25 °C,"[""cytochrome oxidase"", ""cytochrome c"", ""sodium phosphate buffer"", ""Emasol 1130"", ""sodium dithionite"", ""EDTA"", ""hydrogen peroxide""]",,Emasol 1130,TMB+H2O2
10.1016.S0021-9258(18)34056-0,mistral,mistral-small-latest,./prompts/prompt4.txt,6284.0,23212,1188.0,4020,,peroxidase,,,,,,,,,,,,,,,,,,,6.4 µM,0.0064,1.9 x 10^6 M^-1 s^-1,1900000000.0,,,,,,,,,,,,,,,6.0,25 °C,"[""cytochrome oxidase"", ""cytochrome c"", ""sodium phosphate buffer"", ""Emasol 1130"", ""sodium dithionite"", ""EDTA"", ""hydrogen peroxide""]",,Emasol 1130,TMB+H2O2
10.1016.S0021-9258(18)34056-0,mistral,mistral-small-latest,./prompts/prompt4.txt,6284.0,23212,1188.0,4020,,peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,25 °C,"[""cytochrome oxidase"", ""cytochrome c"", ""sodium phosphate buffer"", ""Emasol 1130"", ""sodium dithionite"", ""EDTA"", ""hydrogen peroxide""]",,Emasol 1130,TMB+H2O2
